,Name,1st Serve %,1st Serve Won %,1st Srv. Return Won %,2nd Serve Won %,2nd Srv. Return Won %,Ace %,Ace Against %,Age,Backhand,Best Elo Rank,Best Rank,Best Season,Birthplace,Break Points Ratio,Break Points Saved %,Break Points Won %,Carpet,Clay,Coach,Country,Current Elo Rank,Current Rank,Davis Cups,Double Fault %,Double Fault Against %,Favorite Surface,GOAT Rank,Games Dominance,Games Won %,Grand Slams,Grass,H2H %,Hard,Height,Last Appearance,Masters,Match Time,Matches Won %,Olympics,Overall,Peak Elo Rating,Plays,Points Dominance,Prize Money,Residence,Return Games Won %,Return Points Won %,Seasons,Service Games Won %,Service Points Won %,Sets Won %,Team Cups,Titles,Total Points Won %,Tour Finals,Turned Pro,Weeks at No. 1,Weight
0,Adrian Mannarino,60.40%,69.60%,28.30%,50.80%,49.80%,6.10%,9.20%,34 (29-06-1988),Two-handed,29 (15-01-2018),22 (19-03-2018),2019,,1,59.30%,40.90%,,22.4% (15-52),,France,60 (1888),68 (791),,3.30%,3.80%,Grass 53%,388 (3),0.91,48.90%,,57.6% (57-42),35.80%,47.1% (178-200),183 cm,27-02-2023,,1:41,46.00%,,46.0% (250-294),2004 (29-01-2018),Left-handed,0.97,"US$8,880,161",,21.70%,36.80%,16,76.20%,62.10%,46.20%,,2,49.50%,,2004,,
1,Albert Ramos,62.30%,67.70%,29.60%,51.60%,50.20%,4.20%,7.20%,35 (17-01-1988),Two-handed,25 (01-05-2017),17 (08-05-2017),2016,,1.04,60.90%,40.50%,,55.1% (190-155),,Spain,94 (1809),50 (890),,3.10%,3.70%,Clay 53%,270 (7),0.97,49.40%,,26.1% (6-17),41.10%,35.9% (74-132),188 cm,27-02-2023,,1:54,47.00%,,47.0% (270-304),2014 (01-05-2017),Left-handed,0.98,"US$8,162,087",,23.10%,37.60%,14,76.20%,61.60%,46.90%,,4,49.60%,,2007,,
2,Alejandro Davidovich Fokina,67.40%,65.20%,32.00%,49.70%,50.90%,3.00%,6.90%,23 (05-06-1999),Two-handed,24 (13-06-2021),27 (18-04-2022),2022,,0.95,57.00%,41.00%,,54.5% (30-25),,Spain,41 (1926),28 (1390),,3.30%,3.50%,Clay 25%,428 (3),0.97,49.80%,,40.0% (4-6),33.30%,47.4% (37-41),183 cm,27-02-2023,,2:00,49.70%,,49.7% (71-72),1998 (13-06-2021),Right-handed,0.99,"US$ 2,733,019",,26.70%,39.30%,5,72.50%,60.20%,50.00%,,,49.80%,,2019,,
3,Alex De Minaur,60.20%,70.10%,30.90%,52.80%,51.50%,4.50%,6.90%,24 (17-02-1999),Two-handed,15 (06-03-2023),15 (28-06-2021),2019,,1.09,61.50%,41.90%,,40.5% (15-22),,Australia,15 (2083),18 (2165),,3.20%,3.70%,"Fast (H, G) 34%",212 (11),1.18,51.80%,,59.4% (19-13),63.60%,62.1% (123-75),183 cm,27-02-2023,,1:56,58.80%,,58.8% (157-110),2083 (06-03-2023),Right-handed,1.06,"US$6,834,777",,25.00%,38.90%,7,78.80%,63.20%,56.30%,,7,51.00%,,2015,,
4,Alex Molcan,65.00%,66.90%,30.80%,52.40%,50.80%,4.60%,7.80%,25 (01-12-1997),Two-handed,41 (25-07-2022),38 (23-05-2022),,,0.96,58.60%,39.60%,,66.7% (20-10),,Slovakia,74 (1852),63 (820),,3.00%,2.90%,Clay 47%,,0.98,49.70%,,50.0% (3-3),,35.7% (10-18),178 cm,27-02-2023,,1:49,51.60%,,51.6% (33-31),1941 (25-07-2022),Left-handed,1,"$764,855",,23.80%,38.10%,3,75.70%,61.80%,50.00%,,,49.90%,,2015,,
5,Alexander Bublik,58.30%,76.80%,28.50%,44.90%,45.80%,15.80%,6.30%,25 (17-06-1997),Two-handed,36 (17-10-2022),30 (21-02-2022),2022,,1,62.10%,38.10%,,37.9% (11-18),,Kazakhstan,48 (1913),46 (935),,8.20%,3.40%,Grass 38%,520 (1),0.93,49.30%,,60.6% (20-13),39.10%,50.0% (74-74),196 cm,27-02-2023,,1:39,50.00%,,50.0% (105-105),1961 (31-10-2022),Right-handed,0.96,"US$3,117,630",,18.60%,35.00%,8,80.00%,63.50%,48.70%,,1,49.40%,,2016,,
6,Alexander Zverev,65.10%,74.40%,30.70%,49.60%,50.90%,10.60%,5.60%,25 (20-04-1997),Two-handed,3 (21-11-2021),2 (13-06-2022),2021,"Hamburg, Germany",1.06,60.30%,42.00%,0% (0-0),71.6% (106-42),Mischa Zverev,Germany,6 (2160),14 (2500),0,5.30%,3.40%,Clay 17%,32 (111),1.42,53.70%,0,63.6% (28-16),75.80%,67.6% (202-97),198 cm,27-02-2023,5,1:46,68.40%,1,68.4% (336-155),2303 (21-11-2021),Right-handed,1.12,"US$31,767,815 7th all-time in earnings","Monte-Carlo, Monaco",25.20%,38.4,11,82.3,65.80%,63.80%,0,19,51.80%,2,2013,0,86kg
7,Andrey Rublev,60.30%,74.90%,29.90%,50.80%,52.70%,8.80%,9.40%,25 (20-10-1997),Two-handed,5 (02-11-2020),5 (13-09-2021),2021,"Moscow, Russia",1.08,62.50%,40.70%,,62.3% (48-29),Fernando Vicente,Russian Federation,9 (2126),7 (3660),1,3.50%,4.20%,All-Rounder 6%,89 (42),1.38,53.20%,,64.7% (11-6),61.80%,64.4% (179-99),188 cm,27-02-2023,,1:42,64.00%,,64.0% (238-134),2227 (08-03-2021),Right-handed,1.12,"US$11,652,136","Moscow, Russia",24.40%,38.70%,10,82.20%,65.30%,59.60%,1,12,51.70%,,2014,,85 kg
8,Andy Murray,58.10%,74.40%,32.90%,51.70%,54.90%,8.60%,6.10%,35 (15-05-1987),Two-handed,2 (19-04-2009),1 (07-11-2016),2016,"Dunblane, Scotland",1.14,62.10%,43.20%,72.7% (8-3),69.5% (107-47),Jamie Delgado,United Kingdom,22 (2032),55 (855),1,3.20%,3.60%,Grass 27%,13 (314),1.68,56.40%,3,81.8% (117-26),89.40%,75.5% (489-159),190 cm,20-02-2023,14,1:54,75.50%,2,75.5% (723-235),2500 (21-11-2016),Right-handed,1.18,"US$62,631,258 * 4th all-time leader in earnings","London, England",30.60%,41.50%,19,81.80%,64.90%,68.90%,,46,53.00%,1,2005,41,84 kg
9,Arthur Rinderknech,64.80%,74.80%,25.60%,48.50%,45.50%,12.00%,8.10%,27 (23-07-1995),Two-handed,53 (31-10-2022),42 (31-10-2022),,,1.08,65.70%,36.90%,,47.6% (10-11),,France,79 (1843),72 (737),,2.70%,3.30%,"Slow (H, Cl) 24%",,1,49.60%,,33.3% (2-4),20.00%,51.8% (29-27),196 cm,20-02-2023,,1:57,49.40%,,49.4% (41-42),1909 (21-02-2022),Right-handed,0.96,"US$1,094,599",,16.00%,33.00%,4,84.00%,65.50%,47.00%,,,49.50%,,2018,,
