Unnamed: 0.1,Unnamed: 0,Name,1st Serve %,1st Serve Won %,1st Srv. Return Won %,2nd Serve Won %,2nd Srv. Return Won %,Ace %,Ace Against %,Age,Backhand,Best_Elo_Rank,Best_Rank,Best Season,Birthplace,Break Points Ratio,Break Points Saved %,Break Points Won %,Coach,Country,Current_Elo_Rank,Current_Rank,Davis Cups,Double Fault %,Double Fault Against %,Favorite_Surface,GOAT_Rank,Games Dominance,Games Won %,Grand Slams,H2H %,Height,Last Appearance,Masters,Match Time,Matches Won %,Olympics,Peak Elo Rating,Plays,Points Dominance,Prize Money,Residence,Return Games Won %,Return Points Won %,Seasons,Service Games Won %,Service Points Won %,Sets Won %,Team Cups,Titles,Total Points Won %,Tour Finals,Turned Pro,Weeks at No. 1,Weight,Best_Elo_Rank_Date,Best_Rank_Date,Current_Elo_Rank_Points,Current_Rank_Points,GOAT_Rank_Points,Date_Of_Birth,Total_Win_Percentage,Total_Matches_Won,Total_Matches_Lost,Favorite_Surface_%,Hard_Win_Percentage,Hard_Matches_Won,Hard_Matches_Lost,Clay_Win_Percentage,Clay_Matches_Won,Clay_Matches_Lost,Carpet_Win_Percentage,Carpet_Matches_Won,Carpet_Matches_Lost,Grass_Win_Percentage,Grass_Matches_Won,Grass_Matches_Lost
0,0,Adrian Mannarino,0.604,0.696,0.283,0.508,0.498,0.061,0.092,34,Two-handed,29,22,2019.0,,1.0,0.593,0.409,,France,60,68,,0.033,0.038,Grass,388,0.91,0.489,,0.358,183 cm,27-02-2023,,1:41,0.46,,2004 (29-01-2018),Left-handed,0.97,"US$8,880,161",,0.217,0.368,16,0.762,0.621,0.462,,2.0,0.495,,2004.0,,,2018-01-15,2018-03-19,1888,791,3,1988-06-29,0.46,250,294,0.53,0.471,178,200,0.2239999999999999,15,52,0.0,0,0,0.5760000000000001,57,42
1,1,Albert Ramos,0.623,0.677,0.296,0.516,0.502,0.042,0.072,35,Two-handed,25,17,2016.0,,1.04,0.609,0.405,,Spain,94,50,,0.031,0.037,Clay,270,0.97,0.494,,0.411,188 cm,27-02-2023,,1:54,0.47,,2014 (01-05-2017),Left-handed,0.98,"US$8,162,087",,0.231,0.376,14,0.762,0.616,0.469,,4.0,0.496,,2007.0,,,2017-05-01,2017-05-08,1809,890,7,1988-01-17,0.47,270,304,0.53,0.359,74,132,0.551,190,155,0.0,0,0,0.261,6,17
2,2,Alejandro Davidovich Fokina,0.674,0.652,0.32,0.497,0.509,0.03,0.069,23,Two-handed,24,27,2022.0,,0.95,0.57,0.41,,Spain,41,28,,0.033,0.035,Clay,428,0.97,0.498,,0.3329999999999999,183 cm,27-02-2023,,2:00,0.497,,1998 (13-06-2021),Right-handed,0.99,"US$ 2,733,019",,0.267,0.3929999999999999,5,0.725,0.602,0.5,,,0.498,,2019.0,,,2021-06-13,2022-04-18,1926,1390,3,1999-06-05,0.497,71,72,0.25,0.474,37,41,0.545,30,25,0.0,0,0,0.4,4,6
3,3,Alex De Minaur,0.602,0.701,0.309,0.528,0.515,0.045,0.069,24,Two-handed,15,15,2019.0,,1.09,0.615,0.419,,Australia,15,18,,0.032,0.037,"Fast (H, G)",212,1.18,0.518,,0.636,183 cm,27-02-2023,,1:56,0.588,,2083 (06-03-2023),Right-handed,1.06,"US$6,834,777",,0.25,0.389,7,0.7879999999999999,0.632,0.563,,7.0,0.51,,2015.0,,,2023-03-06,2021-06-28,2083,2165,11,1999-02-17,0.588,157,110,0.34,0.621,123,75,0.405,15,22,0.0,0,0,0.594,19,13
4,4,Alex Molcan,0.65,0.669,0.308,0.524,0.508,0.046,0.078,25,Two-handed,41,38,,,0.96,0.586,0.396,,Slovakia,74,63,,0.03,0.0289999999999999,Clay,0,0.98,0.497,,,178 cm,27-02-2023,,1:49,0.516,,1941 (25-07-2022),Left-handed,1.0,"$764,855",,0.238,0.381,3,0.757,0.618,0.5,,,0.499,,2015.0,,,2022-07-25,2022-05-23,1852,820,0,1997-12-01,0.516,33,31,0.47,0.357,10,18,0.667,20,10,0.0,0,0,0.5,3,3
5,5,Alexander Bublik,0.583,0.768,0.285,0.449,0.4579999999999999,0.158,0.063,25,Two-handed,36,30,2022.0,,1.0,0.621,0.381,,Kazakhstan,48,46,,0.0819999999999999,0.034,Grass,520,0.93,0.493,,0.391,196 cm,27-02-2023,,1:39,0.5,,1961 (31-10-2022),Right-handed,0.96,"US$3,117,630",,0.186,0.35,8,0.8,0.635,0.487,,1.0,0.494,,2016.0,,,2022-10-17,2022-02-21,1913,935,1,1997-06-17,0.5,105,105,0.38,0.5,74,74,0.379,11,18,0.0,0,0,0.606,20,13
6,6,Alexander Zverev,0.6509999999999999,0.7440000000000001,0.307,0.496,0.509,0.106,0.0559999999999999,25,Two-handed,3,2,2021.0,"Hamburg, Germany",1.06,0.603,0.42,Mischa Zverev,Germany,6,14,0.0,0.053,0.034,Clay,32,1.42,0.537,0.0,0.758,198 cm,27-02-2023,5.0,1:46,0.684,1.0,2303 (21-11-2021),Right-handed,1.12,"US$31,767,815 7th all-time in earnings","Monte-Carlo, Monaco",0.252,0.384,11,0.823,0.6579999999999999,0.638,0.0,19.0,0.518,2.0,2013.0,0.0,86kg,2021-11-21,2022-06-13,2160,2500,111,1997-04-20,0.684,336,155,0.17,0.6759999999999999,202,97,0.716,106,42,0.0,0,0,0.636,28,16
7,7,Andrey Rublev,0.603,0.7490000000000001,0.299,0.508,0.527,0.088,0.094,25,Two-handed,5,5,2021.0,"Moscow, Russia",1.08,0.625,0.407,Fernando Vicente,Russian Federation,9,7,1.0,0.035,0.042,All-Rounder,89,1.38,0.532,,0.618,188 cm,27-02-2023,,1:42,0.64,,2227 (08-03-2021),Right-handed,1.12,"US$11,652,136","Moscow, Russia",0.244,0.387,10,0.8220000000000001,0.653,0.596,1.0,12.0,0.517,,2014.0,,85 kg,2020-11-02,2021-09-13,2126,3660,42,1997-10-20,0.64,238,134,0.06,0.644,179,99,0.623,48,29,0.0,0,0,0.647,11,6
8,8,Andy Murray,0.581,0.7440000000000001,0.3289999999999999,0.517,0.5489999999999999,0.086,0.061,35,Two-handed,2,1,2016.0,"Dunblane, Scotland",1.14,0.621,0.432,Jamie Delgado,United Kingdom,22,55,1.0,0.032,0.036,Grass,13,1.68,0.564,3.0,0.894,190 cm,20-02-2023,14.0,1:54,0.755,2.0,2500 (21-11-2016),Right-handed,1.18,"US$62,631,258 * 4th all-time leader in earnings","London, England",0.306,0.415,19,0.818,0.649,0.6890000000000001,,46.0,0.53,1.0,2005.0,41.0,84 kg,2009-04-19,2016-11-07,2032,855,314,1987-05-15,0.755,723,235,0.27,0.755,489,159,0.695,107,47,0.727,8,3,0.818,117,26
9,9,Arthur Rinderknech,0.648,0.748,0.256,0.485,0.455,0.12,0.081,27,Two-handed,53,42,,,1.08,0.657,0.369,,France,79,72,,0.027,0.033,"Slow (H, Cl)",0,1.0,0.496,,0.2,196 cm,20-02-2023,,1:57,0.494,,1909 (21-02-2022),Right-handed,0.96,"US$1,094,599",,0.16,0.33,4,0.84,0.655,0.47,,,0.495,,2018.0,,,2022-10-31,2022-10-31,1843,737,0,1995-07-23,0.494,41,42,0.24,0.518,29,27,0.476,10,11,0.0,0,0,0.3329999999999999,2,4
