Name,1st_Serve_Percentage,1st_Serve_Won_Percentage,1st_Srv._Return_Won_Percentage,2nd_Serve_Won_Percentage,2nd_Srv._Return_Won_Percentage,Ace_Percentage,Ace_Against_Percentage,Age,Backhand,Best_Elo_Rank,Best_Rank,Best_Season,Birthplace,Break_Points_Ratio,Break_Points_Saved_Percentage,Break_Points_Won_Percentage,Coach,Country,Current_Elo_Rank,Davis_Cups,Double_Fault_Percentage,Double_Fault_Against_Percentage,Favorite_Surface,GOAT_Rank,Games_Dominance,Games_Won_Percentage,Grand_Slams,H2H_Percentage,Height_cm,Last_Appearance,Masters,Match_Time,Matches_Won_Percentage,Olympics,Plays,Points_Dominance,Prize_Money_USD,Residence,Return_Games_Won_Percentage,Return_Points_Won_Percentage,Seasons,Service_Games_Won_Percentage,Service_Points_Won_Percentage,Sets_Won_Percentage,Team_Cups,Titles,Total_Points_Won_Percentage,Tour_Finals,Turned_Pro,Weeks_at_No._1,Best_Elo_Rank_Date,Best_Rank_Date,Current_Elo_Rank_Points,Current_Rank_Points,GOAT_Rank_Points,Date_Of_Birth,Total_Win_Percentage,Total_Matches_Won,Total_Matches_Lost,Favorite_Surface_Percentage,Hard_Win_Percentage,Hard_Matches_Won,Hard_Matches_Lost,Clay_Win_Percentage,Clay_Matches_Won,Clay_Matches_Lost,Carpet_Win_Percentage,Carpet_Matches_Won,Carpet_Matches_Lost,Grass_Win_Percentage,Grass_Matches_Won,Grass_Matches_Lost
Novak Djokovic,0.649,0.74,0.33799999999999997,0.555,0.552,0.07200000000000001,0.065,35,Two-handed,1,1,2015.0,"Belgrade, Serbia",1.28,0.654,0.44299999999999995,Marian Vajda and Goran Ivanisevic,Serbia,1,1,0.03,0.035,Hard,1,2.29,0.594,22,0.956,188,2023-02-27,38,1900-01-01 01:52:00,0.836,0,Right-handed,1.3,156136601,"Monte Carlo, Monaco",0.321,0.42200000000000004,20,0.86,0.675,0.7659999999999999,1,93,0.545,6,2003.0,379,2011-03-21,2011-07-04,2433,7160,1024,1987-05-22,0.836,1045,205,0.15,0.848,669,120,0.804,258,63,0.6920000000000001,9,4,0.858,109,18
Carlos Alcaraz Garfia,0.645,0.7,0.34,0.542,0.529,0.042,0.045,19,Two-handed,4,1,2022.0,,1.09,0.623,0.413,,Spain,4,0,0.03,0.036000000000000004,Clay,76,1.57,0.556,1,0.708,185,2023-02-20,2,1900-01-01 02:10:00,0.742,0,Right-handed,1.16,5452072,,0.309,0.413,4,0.8029999999999999,0.644,0.67,0,7,0.525,0,2018.0,20,2022-09-12,2022-09-12,2194,6780,48,2003-05-05,0.742,92,32,0.26,0.7,42,18,0.7929999999999999,46,12,0.0,0,0,0.667,4,2
Stefanos Tsitsipas,0.621,0.76,0.28800000000000003,0.547,0.49200000000000005,0.09,0.062,24,One-handed,3,3,2022.0,"Athens, Greece",1.13,0.6459999999999999,0.39899999999999997,Patrick Mouratoglou,Greece,5,0,0.027999999999999997,0.034,Clay,53,1.5,0.54,0,0.75,193,2023-02-13,2,1900-01-01 01:55:00,0.6759999999999999,0,Right-handed,1.13,18772374,"Monte Carlo, Monaco",0.21,0.36200000000000004,7,0.86,0.679,0.628,0,9,0.52,1,2016.0,0,2023-01-30,2021-08-09,2193,5805,72,1998-08-12,0.6759999999999999,250,120,0.29,0.6509999999999999,157,84,0.755,77,25,0.0,0,0,0.593,16,11
Casper Ruud,0.6509999999999999,0.723,0.29,0.5429999999999999,0.51,0.064,0.076,24,Two-handed,6,2,2022.0,,1.07,0.62,0.405,,Norway,14,0,0.028999999999999998,0.038,Clay,95,1.42,0.5379999999999999,0,0.6559999999999999,183,2023-02-27,0,1900-01-01 01:50:00,0.636,0,Right-handed,1.1,6419239,,0.237,0.373,8,0.833,0.66,0.5920000000000001,0,9,0.517,0,2015.0,0,2022-04-03,2022-09-12,2085,5560,38,1998-12-22,0.636,161,92,0.48,0.537,58,50,0.728,99,37,0.0,0,0,0.375,3,5
Taylor Harry Fritz,0.594,0.7559999999999999,0.26899999999999996,0.511,0.5,0.115,0.087,25,Two-handed,10,5,2022.0,,0.96,0.62,0.365,,United States,10,0,0.031,0.040999999999999995,None,166,1.13,0.513,0,0.551,193,2023-02-27,1,1900-01-01 01:47:00,0.563,0,Right-handed,1.04,7560065,,0.195,0.35700000000000004,9,0.8270000000000001,0.6559999999999999,0.546,1,5,0.506,0,2015.0,0,2023-01-16,2023-02-27,2112,3795,17,1997-10-28,0.563,187,145,0.12,0.5770000000000001,142,104,0.51,25,24,0.0,0,0,0.541,20,17
Daniil Medvedev,0.609,0.755,0.31,0.52,0.5379999999999999,0.11,0.054000000000000006,27,Two-handed,3,1,2021.0,"Moscow, Russia",1.17,0.634,0.428,Gilles Cervara,Russian Federation,3,1,0.045,0.035,Hard,34,1.68,0.556,1,0.741,198,2023-02-27,4,1900-01-01 01:44:00,0.7070000000000001,0,Right-handed,1.18,23595082,"Monte Carlo, Monaco",0.272,0.396,8,0.838,0.6629999999999999,0.669,1,18,0.527,1,2014.0,16,2021-09-13,2022-02-28,2255,3775,108,1996-02-11,0.7070000000000001,282,117,0.49,0.75,231,77,0.439,18,23,0.0,0,0,0.66,33,17
Andrey Rublev,0.603,0.7490000000000001,0.299,0.508,0.527,0.08800000000000001,0.094,25,Two-handed,5,5,2021.0,"Moscow, Russia",1.08,0.625,0.40700000000000003,Fernando Vicente,Russian Federation,9,1,0.035,0.042,All-Rounder,89,1.38,0.532,0,0.618,188,2023-02-27,0,1900-01-01 01:42:00,0.64,0,Right-handed,1.12,11652136,"Moscow, Russia",0.244,0.387,10,0.8220000000000001,0.653,0.596,1,12,0.517,0,2014.0,0,2020-11-02,2021-09-13,2126,3660,42,1997-10-20,0.64,238,134,0.06,0.644,179,99,0.623,48,29,0.0,0,0,0.647,11,6
Holger Vitus Nodskov Rune,0.632,0.7120000000000001,0.29600000000000004,0.526,0.517,0.057,0.062,19,Two-handed,13,8,2022.0,,1.1,0.617,0.42100000000000004,,Denmark,17,0,0.046,0.039,Hard,244,1.21,0.526,0,0.429,185,2023-02-27,1,1900-01-01 01:49:00,0.586,0,Right-handed,1.06,584580,,0.235,0.37799999999999995,6,0.8059999999999999,0.643,0.5820000000000001,0,3,0.51,0,2020.0,0,2022-11-07,2023-03-06,2071,3321,8,2003-04-29,0.586,58,41,0.29,0.667,40,20,0.5,18,18,0.0,0,0,0.0,0,3
Rafael Nadal,0.68,0.722,0.342,0.5720000000000001,0.552,0.043,0.073,36,Two-handed,1,1,2010.0,"Manacor, Mallorca, Spain",1.33,0.662,0.449,Carlos Moya,Spain,2,5,0.023,0.034,Clay,3,2.33,0.597,22,0.965,185,2023-01-16,36,1900-01-01 01:55:00,0.83,1,Left-handed,1.3,128081950,"Manacor, Mallorca, Spain",0.33299999999999996,0.424,22,0.857,0.674,0.773,0,92,0.545,0,2001.0,209,2008-06-16,2008-08-18,2264,3315,891,1986-06-03,0.83,1066,219,0.4,0.7759999999999999,514,148,0.9129999999999999,474,45,0.25,2,6,0.792,76,20
Felix Auger Aliassime,0.639,0.755,0.298,0.501,0.47700000000000004,0.121,0.057,22,Two-handed,8,6,2022.0,,1.05,0.64,0.377,,Canada,11,1,0.052000000000000005,0.034,Grass,172,1.21,0.522,0,0.649,193,2023-02-27,0,1900-01-01 01:59:00,0.612,0,Right-handed,1.08,7031580,,0.20199999999999999,0.364,6,0.833,0.6629999999999999,0.579,1,4,0.512,0,2017.0,0,2022-11-07,2022-11-07,2108,3245,17,2000-08-08,0.612,167,106,0.29,0.626,114,68,0.525,31,28,0.0,0,0,0.688,22,10
Hubert Hurkacz,0.631,0.752,0.27399999999999997,0.52,0.48,0.124,0.071,26,Two-handed,11,9,2021.0,,1.05,0.647,0.371,,Poland,16,0,0.03,0.038,"Fast (H, G)",165,1.21,0.52,0,0.466,196,2023-02-27,1,1900-01-01 01:52:00,0.5760000000000001,0,Right-handed,1.06,6353995,,0.18600000000000003,0.353,8,0.847,0.6659999999999999,0.556,0,6,0.509,0,2015.0,0,2022-08-15,2021-11-08,2082,3110,17,1997-02-11,0.5760000000000001,136,100,0.21,0.594,104,71,0.474,18,20,0.0,0,0,0.609,14,9
Cameron Norrie,0.652,0.7040000000000001,0.308,0.501,0.513,0.06,0.078,27,Two-handed,11,8,2021.0,,1.12,0.622,0.42200000000000004,,United Kingdom,13,0,0.037000000000000005,0.036000000000000004,Clay,190,1.24,0.524,0,0.643,188,2023-02-20,1,1900-01-01 01:52:00,0.598,0,Left-handed,1.05,5346912,,0.254,0.386,7,0.7959999999999999,0.634,0.564,0,5,0.509,0,2017.0,0,2022-08-21,2022-09-12,2094,2815,14,1995-08-23,0.598,168,113,0.2,0.59,108,75,0.642,43,24,0.0,0,0,0.5479999999999999,17,14
Jannik Sinner,0.593,0.7190000000000001,0.322,0.531,0.522,0.061,0.061,21,Two-handed,7,9,2021.0,,1.17,0.632,0.43200000000000005,,Italy,8,0,0.028999999999999998,0.035,"Slow (H, Cl)",177,1.4,0.542,0,0.58,188,2023-02-20,0,1900-01-01 01:59:00,0.684,0,Right-handed,1.12,5039946,,0.267,0.39899999999999997,5,0.81,0.643,0.643,0,7,0.519,0,2018.0,0,2022-08-01,2021-11-01,2132,2655,16,2001-08-16,0.684,132,61,0.58,0.705,93,39,0.6729999999999999,35,17,0.0,0,0,0.444,4,5
Alexander Zverev,0.6509999999999999,0.7440000000000001,0.307,0.496,0.509,0.106,0.055999999999999994,25,Two-handed,3,2,2021.0,"Hamburg, Germany",1.06,0.603,0.42,Mischa Zverev,Germany,6,0,0.053,0.034,Clay,32,1.42,0.537,0,0.758,198,2023-02-27,5,1900-01-01 01:46:00,0.684,1,Right-handed,1.12,31767815,"Monte-Carlo, Monaco",0.252,0.384,11,0.823,0.6579999999999999,0.638,0,19,0.518,2,2013.0,0,2021-11-21,2022-06-13,2160,2500,111,1997-04-20,0.684,336,155,0.17,0.6759999999999999,202,97,0.716,106,42,0.0,0,0,0.636,28,16
Karen Khachanov,0.623,0.7340000000000001,0.28300000000000003,0.516,0.5,0.095,0.071,26,Two-handed,10,8,2018.0,,1.1,0.636,0.4,,Russian Federation,19,0,0.033,0.035,Grass,161,1.16,0.516,0,0.54,198,2023-02-27,1,1900-01-01 01:57:00,0.569,0,Right-handed,1.05,10270529,,0.209,0.366,11,0.821,0.652,0.552,0,4,0.508,0,2013.0,0,2019-02-08,2019-07-15,2067,2470,18,1996-05-21,0.569,215,163,0.18,0.563,142,110,0.556,50,40,0.0,0,0,0.657,23,12
