Name,Category,Info
Roberto Bautista Agut,Age,34 (14-04-1988)
Roberto Bautista Agut,Country,Spain
Roberto Bautista Agut,Height,183 cm
Roberto Bautista Agut,Plays,Right-handed
Roberto Bautista Agut,Backhand,Two-handed
Roberto Bautista Agut,Favorite Surface,Grass 19%
Roberto Bautista Agut,Turned Pro,2005
Roberto Bautista Agut,Seasons,14
Roberto Bautista Agut,Active,Yes
Roberto Bautista Agut,Prize Money,"US$15,665,078"
Roberto Bautista Agut,Wikipedia,Wikipedia
Roberto Bautista Agut,Titles,11
Roberto Bautista Agut,Davis Cups,1
Roberto Bautista Agut,Current Rank,27 (1465)
Roberto Bautista Agut,Best Rank,9 (04-11-2019)
Roberto Bautista Agut,Current Elo Rank,27 (1990)
Roberto Bautista Agut,Best Elo Rank,9 (15-07-2019)
Roberto Bautista Agut,Peak Elo Rating,2135 (17-10-2016)
Roberto Bautista Agut,GOAT Rank,148 (22)
Roberto Bautista Agut,Best Season,2019
Roberto Bautista Agut,Last Appearance,20-02-2023
Roberto Bautista Agut,Overall,62.3% (381-231)
Roberto Bautista Agut,Hard,62.8% (252-149)
Roberto Bautista Agut,Clay,58.7% (88-62)
Roberto Bautista Agut,Grass,69.5% (41-18)
Roberto Bautista Agut,H2H,"61
6
30"
Roberto Bautista Agut,H2H %,66.0%
Roberto Bautista Agut,Ace %,4.1%
Roberto Bautista Agut,Double Fault %,2.5%
Roberto Bautista Agut,1st Serve %,66.0%
Roberto Bautista Agut,1st Serve Won %,69.9%
Roberto Bautista Agut,2nd Serve Won %,53.9%
Roberto Bautista Agut,Break Points Saved %,61.9%
Roberto Bautista Agut,Service Points Won %,64.5%
Roberto Bautista Agut,Service Games Won %,80.5%
Roberto Bautista Agut,Ace Against %,9.1%
Roberto Bautista Agut,Double Fault Against %,3.7%
Roberto Bautista Agut,1st Srv. Return Won %,30.4%
Roberto Bautista Agut,2nd Srv. Return Won %,53.4%
Roberto Bautista Agut,Break Points Won %,41.4%
Roberto Bautista Agut,Return Points Won %,39.6%
Roberto Bautista Agut,Return Games Won %,26.5%
Roberto Bautista Agut,Points Dominance,1.11
Roberto Bautista Agut,Games Dominance,1.36
Roberto Bautista Agut,Break Points Ratio,1.09
Roberto Bautista Agut,Total Points Won %,51.8%
Roberto Bautista Agut,Games Won %,53.7%
Roberto Bautista Agut,Sets Won %,59.7%
Roberto Bautista Agut,Matches Won %,62.3%
Roberto Bautista Agut,Match Time,1:45
