Name,Category,Info
Carlos Alcaraz Garfia,Age,19 (05-05-2003)
Carlos Alcaraz Garfia,Country,Spain
Carlos Alcaraz Garfia,Height,185 cm
Carlos Alcaraz Garfia,Plays,Right-handed
Carlos Alcaraz Garfia,Backhand,Two-handed
Carlos Alcaraz Garfia,Favorite Surface,Clay 26%
Carlos Alcaraz Garfia,Turned Pro,2018
Carlos Alcaraz Garfia,Seasons,4
Carlos Alcaraz Garfia,Active,Yes
Carlos Alcaraz Garfia,Prize Money,"US$5,452,072"
Carlos Alcaraz Garfia,Wikipedia,Wikipedia
Carlos Alcaraz Garfia,Titles,7
Carlos Alcaraz Garfia,Grand Slams,1
Carlos Alcaraz Garfia,Masters,2
Carlos Alcaraz Garfia,Current Rank,2 (6780)
Carlos Alcaraz Garfia,Best Rank,1 (12-09-2022)
Carlos Alcaraz Garfia,Current Elo Rank,4 (2194)
Carlos Alcaraz Garfia,Best Elo Rank,4 (12-09-2022)
Carlos Alcaraz Garfia,Peak Elo Rating,2225 (12-09-2022)
Carlos Alcaraz Garfia,GOAT Rank,76 (48)
Carlos Alcaraz Garfia,Weeks at No. 1,20
Carlos Alcaraz Garfia,Best Season,2022
Carlos Alcaraz Garfia,Last Appearance,20-02-2023
Carlos Alcaraz Garfia,Overall,74.2% (92-32)
Carlos Alcaraz Garfia,Hard,70.0% (42-18)
Carlos Alcaraz Garfia,Clay,79.3% (46-12)
Carlos Alcaraz Garfia,Grass,66.7% (4-2)
Carlos Alcaraz Garfia,H2H,"8
1
3"
Carlos Alcaraz Garfia,H2H %,70.8%
Carlos Alcaraz Garfia,Ace %,4.2%
Carlos Alcaraz Garfia,Double Fault %,3.0%
Carlos Alcaraz Garfia,1st Serve %,64.5%
Carlos Alcaraz Garfia,1st Serve Won %,70.0%
Carlos Alcaraz Garfia,2nd Serve Won %,54.2%
Carlos Alcaraz Garfia,Break Points Saved %,62.3%
Carlos Alcaraz Garfia,Service Points Won %,64.4%
Carlos Alcaraz Garfia,Service Games Won %,80.3%
Carlos Alcaraz Garfia,Ace Against %,4.5%
Carlos Alcaraz Garfia,Double Fault Against %,3.6%
Carlos Alcaraz Garfia,1st Srv. Return Won %,34.0%
Carlos Alcaraz Garfia,2nd Srv. Return Won %,52.9%
Carlos Alcaraz Garfia,Break Points Won %,41.3%
Carlos Alcaraz Garfia,Return Points Won %,41.3%
Carlos Alcaraz Garfia,Return Games Won %,30.9%
Carlos Alcaraz Garfia,Points Dominance,1.16
Carlos Alcaraz Garfia,Games Dominance,1.57
Carlos Alcaraz Garfia,Break Points Ratio,1.09
Carlos Alcaraz Garfia,Total Points Won %,52.5%
Carlos Alcaraz Garfia,Games Won %,55.6%
Carlos Alcaraz Garfia,Sets Won %,67.0%
Carlos Alcaraz Garfia,Matches Won %,74.2%
Carlos Alcaraz Garfia,Match Time,2:10
