Name,Category,Info
Felix Auger Aliassime,Age,22 (08-08-2000)
Felix Auger Aliassime,Country,Canada
Felix Auger Aliassime,Height,193 cm
Felix Auger Aliassime,Plays,Right-handed
Felix Auger Aliassime,Backhand,Two-handed
Felix Auger Aliassime,Favorite Surface,Grass 29%
Felix Auger Aliassime,Turned Pro,2017
Felix Auger Aliassime,Seasons,6
Felix Auger Aliassime,Active,Yes
Felix Auger Aliassime,Prize Money,"US$7,031,580"
Felix Auger Aliassime,Wikipedia,Wikipedia
Felix Auger Aliassime,Titles,4
Felix Auger Aliassime,Davis Cups,1
Felix Auger Aliassime,Team Cups,1
Felix Auger Aliassime,Current Rank,10 (3245)
Felix Auger Aliassime,Best Rank,6 (07-11-2022)
Felix Auger Aliassime,Current Elo Rank,11 (2108)
Felix Auger Aliassime,Best Elo Rank,8 (07-11-2022)
Felix Auger Aliassime,Peak Elo Rating,2140 (04-12-2022)
Felix Auger Aliassime,GOAT Rank,172 (17)
Felix Auger Aliassime,Best Season,2022
Felix Auger Aliassime,Last Appearance,27-02-2023
Felix Auger Aliassime,Overall,61.2% (167-106)
Felix Auger Aliassime,Hard,62.6% (114-68)
Felix Auger Aliassime,Clay,52.5% (31-28)
Felix Auger Aliassime,Grass,68.8% (22-10)
Felix Auger Aliassime,H2H,"22
4
11"
Felix Auger Aliassime,H2H %,64.9%
Felix Auger Aliassime,Ace %,12.1%
Felix Auger Aliassime,Double Fault %,5.2%
Felix Auger Aliassime,1st Serve %,63.9%
Felix Auger Aliassime,1st Serve Won %,75.5%
Felix Auger Aliassime,2nd Serve Won %,50.1%
Felix Auger Aliassime,Break Points Saved %,64.0%
Felix Auger Aliassime,Service Points Won %,66.3%
Felix Auger Aliassime,Service Games Won %,83.3%
Felix Auger Aliassime,Ace Against %,5.7%
Felix Auger Aliassime,Double Fault Against %,3.4%
Felix Auger Aliassime,1st Srv. Return Won %,29.8%
Felix Auger Aliassime,2nd Srv. Return Won %,47.7%
Felix Auger Aliassime,Break Points Won %,37.7%
Felix Auger Aliassime,Return Points Won %,36.4%
Felix Auger Aliassime,Return Games Won %,20.2%
Felix Auger Aliassime,Points Dominance,1.08
Felix Auger Aliassime,Games Dominance,1.21
Felix Auger Aliassime,Break Points Ratio,1.05
Felix Auger Aliassime,Total Points Won %,51.2%
Felix Auger Aliassime,Games Won %,52.2%
Felix Auger Aliassime,Sets Won %,57.9%
Felix Auger Aliassime,Matches Won %,61.2%
Felix Auger Aliassime,Match Time,1:59
