Name,Category,Info
Daniel Altmaier,Age,24 (12-09-1998)
Daniel Altmaier,Country,Germany
Daniel Altmaier,Height,188 cm
Daniel Altmaier,Plays,Right-handed
Daniel Altmaier,Backhand,One-handed
Daniel Altmaier,Favorite Surface,"Soft (Cl, G) 39%"
Daniel Altmaier,Turned Pro,2014
Daniel Altmaier,Seasons,6
Daniel Altmaier,Active,Yes
Daniel Altmaier,Prize Money,"$843,484"
Daniel Altmaier,Wikipedia,Wikipedia
Daniel Altmaier,Current Rank,98 (564)
Daniel Altmaier,Best Rank,53 (23-05-2022)
Daniel Altmaier,Current Elo Rank,168 (1661)
Daniel Altmaier,Best Elo Rank,97 (01-11-2021)
Daniel Altmaier,Peak Elo Rating,1826 (18-10-2021)
Daniel Altmaier,Last Appearance,31.0% (18-40)
Daniel Altmaier,Overall,18.2% (4-18)
Daniel Altmaier,Hard,38.5% (10-16)
Daniel Altmaier,Clay,40.0% (4-6)
Daniel Altmaier,Grass,27-02-2023
Daniel Altmaier,Ace %,8.1%
Daniel Altmaier,Double Fault %,3.4%
Daniel Altmaier,1st Serve %,60.2%
Daniel Altmaier,1st Serve Won %,70.0%
Daniel Altmaier,2nd Serve Won %,47.1%
Daniel Altmaier,Break Points Saved %,64.0%
Daniel Altmaier,Service Points Won %,60.9%
Daniel Altmaier,Service Games Won %,74.9%
Daniel Altmaier,Ace Against %,6.2%
Daniel Altmaier,Double Fault Against %,3.2%
Daniel Altmaier,1st Srv. Return Won %,27.0%
Daniel Altmaier,2nd Srv. Return Won %,46.1%
Daniel Altmaier,Break Points Won %,37.0%
Daniel Altmaier,Return Points Won %,34.2%
Daniel Altmaier,Return Games Won %,17.9%
Daniel Altmaier,Points Dominance,0.87
Daniel Altmaier,Games Dominance,0.71
Daniel Altmaier,Break Points Ratio,1.03
Daniel Altmaier,Total Points Won %,47.8%
Daniel Altmaier,Games Won %,46.0%
Daniel Altmaier,Sets Won %,36.2%
Daniel Altmaier,Matches Won %,31.0%
Daniel Altmaier,Match Time,1:56
