Name,Category,Info
Roberto Carballes Baena,Age,29 (23-03-1993)
Roberto Carballes Baena,Country,Spain
Roberto Carballes Baena,Height,183 cm
Roberto Carballes Baena,Plays,Right-handed
Roberto Carballes Baena,Backhand,Two-handed
Roberto Carballes Baena,Favorite Surface,Clay 55%
Roberto Carballes Baena,Turned Pro,2011
Roberto Carballes Baena,Seasons,11
Roberto Carballes Baena,Active,Yes
Roberto Carballes Baena,Prize Money,"US$2,931,305"
Roberto Carballes Baena,Wikipedia,Wikipedia
Roberto Carballes Baena,Titles,1
Roberto Carballes Baena,Current Rank,79 (665)
Roberto Carballes Baena,Best Rank,71 (15-11-2021)
Roberto Carballes Baena,Current Elo Rank,95 (1808)
Roberto Carballes Baena,Best Elo Rank,79 (31-10-2022)
Roberto Carballes Baena,Peak Elo Rating,1854 (12-10-2020)
Roberto Carballes Baena,GOAT Rank,520 (1)
Roberto Carballes Baena,Best Season,2018
Roberto Carballes Baena,Last Appearance,27-02-2023
Roberto Carballes Baena,Overall,43.0% (77-102)
Roberto Carballes Baena,Hard,36.2% (17-30)
Roberto Carballes Baena,Clay,48.0% (59-64)
Roberto Carballes Baena,Grass,11.1% (1-8)
Roberto Carballes Baena,H2H,"6
0
11"
Roberto Carballes Baena,H2H %,35.3%
Roberto Carballes Baena,Ace %,3.4%
Roberto Carballes Baena,Double Fault %,3.9%
Roberto Carballes Baena,1st Serve %,62.4%
Roberto Carballes Baena,1st Serve Won %,66.3%
Roberto Carballes Baena,2nd Serve Won %,49.8%
Roberto Carballes Baena,Break Points Saved %,58.2%
Roberto Carballes Baena,Service Points Won %,60.1%
Roberto Carballes Baena,Service Games Won %,72.8%
Roberto Carballes Baena,Ace Against %,6.5%
Roberto Carballes Baena,Double Fault Against %,3.8%
Roberto Carballes Baena,1st Srv. Return Won %,29.9%
Roberto Carballes Baena,2nd Srv. Return Won %,50.4%
Roberto Carballes Baena,Break Points Won %,44.0%
Roberto Carballes Baena,Return Points Won %,38.1%
Roberto Carballes Baena,Return Games Won %,24.1%
Roberto Carballes Baena,Points Dominance,0.95
Roberto Carballes Baena,Games Dominance,0.89
Roberto Carballes Baena,Break Points Ratio,1.05
Roberto Carballes Baena,Total Points Won %,49.2%
Roberto Carballes Baena,Games Won %,48.1%
Roberto Carballes Baena,Sets Won %,44.5%
Roberto Carballes Baena,Matches Won %,43.0%
Roberto Carballes Baena,Match Time,1:57
