Name,Category,Info
Sebastian Baez,Age,22 (28-12-2000)
Sebastian Baez,Country,Argentina
Sebastian Baez,Height,170 cm
Sebastian Baez,Plays,Right-handed
Sebastian Baez,Backhand,Two-handed
Sebastian Baez,Favorite Surface,Clay 69%
Sebastian Baez,Turned Pro,2018
Sebastian Baez,Seasons,3
Sebastian Baez,Active,Yes
Sebastian Baez,Prize Money,"$738,269"
Sebastian Baez,Wikipedia,Wikipedia
Sebastian Baez,Titles,2
Sebastian Baez,Current Rank,35 (1135)
Sebastian Baez,Best Rank,31 (01-08-2022)
Sebastian Baez,Current Elo Rank,82 (1834)
Sebastian Baez,Best Elo Rank,49 (18-07-2022)
Sebastian Baez,Peak Elo Rating,1920 (18-07-2022)
Sebastian Baez,GOAT Rank,433 (2)
Sebastian Baez,Best Season,2023
Sebastian Baez,Last Appearance,27-02-2023
Sebastian Baez,Overall,47.9% (34-37)
Sebastian Baez,Hard,13.6% (3-19)
Sebastian Baez,Clay,64.4% (29-16)
Sebastian Baez,Grass,50.0% (2-2)
Sebastian Baez,H2H,"1
0
1"
Sebastian Baez,H2H %,50.0%
Sebastian Baez,Ace %,2.5%
Sebastian Baez,Double Fault %,2.6%
Sebastian Baez,1st Serve %,72.1%
Sebastian Baez,1st Serve Won %,64.0%
Sebastian Baez,2nd Serve Won %,52.9%
Sebastian Baez,Break Points Saved %,59.5%
Sebastian Baez,Service Points Won %,60.9%
Sebastian Baez,Service Games Won %,74.5%
Sebastian Baez,Ace Against %,4.5%
Sebastian Baez,Double Fault Against %,3.1%
Sebastian Baez,1st Srv. Return Won %,32.7%
Sebastian Baez,2nd Srv. Return Won %,50.6%
Sebastian Baez,Break Points Won %,40.5%
Sebastian Baez,Return Points Won %,39.2%
Sebastian Baez,Return Games Won %,25.8%
Sebastian Baez,Points Dominance,1.00
Sebastian Baez,Games Dominance,1.01
Sebastian Baez,Break Points Ratio,1.00
Sebastian Baez,Total Points Won %,49.8%
Sebastian Baez,Games Won %,49.9%
Sebastian Baez,Sets Won %,48.0%
Sebastian Baez,Matches Won %,47.9%
Sebastian Baez,Match Time,1:52
