Name,Category,Info
Facundo Bagnis,Age,33 (27-02-1990)
Facundo Bagnis,Country,Argentina
Facundo Bagnis,Plays,Left-handed
Facundo Bagnis,Backhand,Two-handed
Facundo Bagnis,Favorite Surface,Clay 69%
Facundo Bagnis,Turned Pro,2007
Facundo Bagnis,Seasons,12
Facundo Bagnis,Active,Yes
Facundo Bagnis,Prize Money,"US$2,076,350"
Facundo Bagnis,Wikipedia,Wikipedia
Facundo Bagnis,Current Rank,96 (570)
Facundo Bagnis,Best Rank,55 (14-11-2016)
Facundo Bagnis,Current Elo Rank,167 (1669)
Facundo Bagnis,Best Elo Rank,105 (04-04-2021)
Facundo Bagnis,Peak Elo Rating,1804 (15-03-2021)
Facundo Bagnis,Last Appearance,27-02-2023
Facundo Bagnis,Overall,32.2% (37-78)
Facundo Bagnis,Hard,23.1% (6-20)
Facundo Bagnis,Clay,36.9% (31-53)
Facundo Bagnis,Grass,0.0% (0-5)
Facundo Bagnis,H2H,"1
1
3"
Facundo Bagnis,H2H %,30.0%
Facundo Bagnis,Ace %,6.0%
Facundo Bagnis,Double Fault %,4.2%
Facundo Bagnis,1st Serve %,61.2%
Facundo Bagnis,1st Serve Won %,67.2%
Facundo Bagnis,2nd Serve Won %,49.4%
Facundo Bagnis,Break Points Saved %,60.2%
Facundo Bagnis,Service Points Won %,60.3%
Facundo Bagnis,Service Games Won %,73.2%
Facundo Bagnis,Ace Against %,6.8%
Facundo Bagnis,Double Fault Against %,3.8%
Facundo Bagnis,1st Srv. Return Won %,28.6%
Facundo Bagnis,2nd Srv. Return Won %,47.5%
Facundo Bagnis,Break Points Won %,37.2%
Facundo Bagnis,Return Points Won %,35.8%
Facundo Bagnis,Return Games Won %,18.9%
Facundo Bagnis,Points Dominance,0.90
Facundo Bagnis,Games Dominance,0.71
Facundo Bagnis,Break Points Ratio,0.93
Facundo Bagnis,Total Points Won %,48.2%
Facundo Bagnis,Games Won %,46.2%
Facundo Bagnis,Sets Won %,36.5%
Facundo Bagnis,Matches Won %,32.2%
Facundo Bagnis,Match Time,1:48
