Name,Category,Info
Gregoire Barrere,Age,29 (16-02-1994)
Gregoire Barrere,Country,France
Gregoire Barrere,Height,183 cm
Gregoire Barrere,Plays,Right-handed
Gregoire Barrere,Backhand,Two-handed
Gregoire Barrere,Favorite Surface,Hard 47%
Gregoire Barrere,Turned Pro,2012
Gregoire Barrere,Seasons,8
Gregoire Barrere,Active,Yes
Gregoire Barrere,Prize Money,"US$1,498,034"
Gregoire Barrere,Wikipedia,Wikipedia
Gregoire Barrere,Current Rank,65 (799)
Gregoire Barrere,Best Rank,58 (20-02-2023)
Gregoire Barrere,Current Elo Rank,100 (1805)
Gregoire Barrere,Best Elo Rank,100 (06-03-2023)
Gregoire Barrere,Peak Elo Rating,1810 (10-02-2020)
Gregoire Barrere,Last Appearance,20-02-2023
Gregoire Barrere,Overall,33.3% (18-36)
Gregoire Barrere,Hard,38.5% (15-24)
Gregoire Barrere,Clay,18.2% (2-9)
Gregoire Barrere,Grass,25.0% (1-3)
Gregoire Barrere,H2H,"1
1
1"
Gregoire Barrere,H2H %,50.0%
Gregoire Barrere,Ace %,6.2%
Gregoire Barrere,Double Fault %,3.2%
Gregoire Barrere,1st Serve %,63.3%
Gregoire Barrere,1st Serve Won %,69.2%
Gregoire Barrere,2nd Serve Won %,48.7%
Gregoire Barrere,Break Points Saved %,55.1%
Gregoire Barrere,Service Points Won %,61.7%
Gregoire Barrere,Service Games Won %,74.1%
Gregoire Barrere,Ace Against %,10.0%
Gregoire Barrere,Double Fault Against %,4.6%
Gregoire Barrere,1st Srv. Return Won %,26.6%
Gregoire Barrere,2nd Srv. Return Won %,48.8%
Gregoire Barrere,Break Points Won %,36.7%
Gregoire Barrere,Return Points Won %,35.1%
Gregoire Barrere,Return Games Won %,17.9%
Gregoire Barrere,Points Dominance,0.92
Gregoire Barrere,Games Dominance,0.69
Gregoire Barrere,Break Points Ratio,0.82
Gregoire Barrere,Total Points Won %,48.4%
Gregoire Barrere,Games Won %,46.0%
Gregoire Barrere,Sets Won %,37.0%
Gregoire Barrere,Matches Won %,33.3%
Gregoire Barrere,Match Time,1:50
