Name,Category,Info
Matteo Berrettini,Age,26 (12-04-1996)
Matteo Berrettini,Country,Italy
Matteo Berrettini,Height,196 cm
Matteo Berrettini,Plays,Right-handed
Matteo Berrettini,Backhand,Two-handed
Matteo Berrettini,Favorite Surface,Grass 50%
Matteo Berrettini,Turned Pro,2015
Matteo Berrettini,Seasons,7
Matteo Berrettini,Active,Yes
Matteo Berrettini,Prize Money,"US$9,279,844"
Matteo Berrettini,Wikipedia,Wikipedia
Matteo Berrettini,Titles,7
Matteo Berrettini,Current Rank,23 (1780)
Matteo Berrettini,Best Rank,6 (31-01-2022)
Matteo Berrettini,Current Elo Rank,12 (2106)
Matteo Berrettini,Best Elo Rank,7 (12-07-2021)
Matteo Berrettini,Peak Elo Rating,2173 (13-09-2021)
Matteo Berrettini,GOAT Rank,135 (24)
Matteo Berrettini,Best Season,2021
Matteo Berrettini,Last Appearance,27-02-2023
Matteo Berrettini,Overall,65.0% (147-79)
Matteo Berrettini,Hard,56.6% (69-53)
Matteo Berrettini,Clay,69.2% (45-20)
Matteo Berrettini,Grass,84.6% (33-6)
Matteo Berrettini,H2H,"18
0
7"
Matteo Berrettini,H2H %,72.0%
Matteo Berrettini,Ace %,12.3%
Matteo Berrettini,Double Fault %,2.4%
Matteo Berrettini,1st Serve %,62.8%
Matteo Berrettini,1st Serve Won %,78.2%
Matteo Berrettini,2nd Serve Won %,53.3%
Matteo Berrettini,Break Points Saved %,68.5%
Matteo Berrettini,Service Points Won %,68.9%
Matteo Berrettini,Service Games Won %,87.9%
Matteo Berrettini,Ace Against %,5.9%
Matteo Berrettini,Double Fault Against %,3.6%
Matteo Berrettini,1st Srv. Return Won %,28.2%
Matteo Berrettini,2nd Srv. Return Won %,46.5%
Matteo Berrettini,Break Points Won %,36.7%
Matteo Berrettini,Return Points Won %,35.0%
Matteo Berrettini,Return Games Won %,18.1%
Matteo Berrettini,Points Dominance,1.13
Matteo Berrettini,Games Dominance,1.49
Matteo Berrettini,Break Points Ratio,1.16
Matteo Berrettini,Total Points Won %,51.6%
Matteo Berrettini,Games Won %,52.9%
Matteo Berrettini,Sets Won %,61.4%
Matteo Berrettini,Matches Won %,65.0%
Matteo Berrettini,Match Time,1:59
