Name,Category,Info
Benjamin Bonzi,Age,26 (09-06-1996)
Benjamin Bonzi,Country,France
Benjamin Bonzi,Height,185 cm
Benjamin Bonzi,Plays,Right-handed
Benjamin Bonzi,Backhand,Two-handed
Benjamin Bonzi,Favorite Surface,Grass 50%
Benjamin Bonzi,Turned Pro,2015
Benjamin Bonzi,Seasons,6
Benjamin Bonzi,Active,Yes
Benjamin Bonzi,Prize Money,"US$1,223,800"
Benjamin Bonzi,Wikipedia,Wikipedia
Benjamin Bonzi,Current Rank,45 (944)
Benjamin Bonzi,Best Rank,42 (06-02-2023)
Benjamin Bonzi,Current Elo Rank,57 (1893)
Benjamin Bonzi,Best Elo Rank,57 (06-03-2023)
Benjamin Bonzi,Peak Elo Rating,1893 (27-02-2023)
Benjamin Bonzi,Last Appearance,20-02-2023
Benjamin Bonzi,Overall,45.5% (35-42)
Benjamin Bonzi,Hard,44.2% (23-29)
Benjamin Bonzi,Clay,30.0% (3-7)
Benjamin Bonzi,Grass,60.0% (9-6)
Benjamin Bonzi,H2H,"1
0
3"
Benjamin Bonzi,H2H %,25.0%
Benjamin Bonzi,Ace %,8.0%
Benjamin Bonzi,Double Fault %,2.9%
Benjamin Bonzi,1st Serve %,60.4%
Benjamin Bonzi,1st Serve Won %,72.4%
Benjamin Bonzi,2nd Serve Won %,51.3%
Benjamin Bonzi,Break Points Saved %,62.2%
Benjamin Bonzi,Service Points Won %,64.1%
Benjamin Bonzi,Service Games Won %,81.1%
Benjamin Bonzi,Ace Against %,10.0%
Benjamin Bonzi,Double Fault Against %,3.9%
Benjamin Bonzi,1st Srv. Return Won %,27.8%
Benjamin Bonzi,2nd Srv. Return Won %,50.4%
Benjamin Bonzi,Break Points Won %,39.9%
Benjamin Bonzi,Return Points Won %,36.3%
Benjamin Bonzi,Return Games Won %,20.6%
Benjamin Bonzi,Points Dominance,1.01
Benjamin Bonzi,Games Dominance,1.09
Benjamin Bonzi,Break Points Ratio,1.05
Benjamin Bonzi,Total Points Won %,50.3%
Benjamin Bonzi,Games Won %,50.7%
Benjamin Bonzi,Sets Won %,48.0%
Benjamin Bonzi,Matches Won %,45.5%
Benjamin Bonzi,Match Time,1:50
