Name,Category,Info
Nuno Borges,Age,26 (19-02-1997)
Nuno Borges,Country,Portugal
Nuno Borges,Height,185 cm
Nuno Borges,Plays,Right-handed
Nuno Borges,Backhand,Two-handed
Nuno Borges,Favorite Surface,None 15%
Nuno Borges,Turned Pro,2019
Nuno Borges,Seasons,3
Nuno Borges,Active,Yes
Nuno Borges,Prize Money,"$162,260"
Nuno Borges,Wikipedia,Wikipedia
Nuno Borges,Current Rank,80 (662)
Nuno Borges,Best Rank,80 (06-03-2023)
Nuno Borges,Current Elo Rank,143 (1753)
Nuno Borges,Best Elo Rank,141 (20-02-2023)
Nuno Borges,Peak Elo Rating,1753 (06-03-2023)
Nuno Borges,Last Appearance,41.2% (7-10)
Nuno Borges,Overall,45.5% (5-6)
Nuno Borges,Hard,40.0% (2-3)
Nuno Borges,Clay,0.0% (0-1)
Nuno Borges,Grass,27-02-2023
Nuno Borges,Ace %,4.9%
Nuno Borges,Double Fault %,3.1%
Nuno Borges,1st Serve %,64.9%
Nuno Borges,1st Serve Won %,69.3%
Nuno Borges,2nd Serve Won %,55.0%
Nuno Borges,Break Points Saved %,64.9%
Nuno Borges,Service Points Won %,64.3%
Nuno Borges,Service Games Won %,82.1%
Nuno Borges,Ace Against %,7.9%
Nuno Borges,Double Fault Against %,3.1%
Nuno Borges,1st Srv. Return Won %,26.2%
Nuno Borges,2nd Srv. Return Won %,47.7%
Nuno Borges,Break Points Won %,33.3%
Nuno Borges,Return Points Won %,34.8%
Nuno Borges,Return Games Won %,13.4%
Nuno Borges,Points Dominance,0.97
Nuno Borges,Games Dominance,0.75
Nuno Borges,Break Points Ratio,0.95
Nuno Borges,Total Points Won %,49.4%
Nuno Borges,Games Won %,47.0%
Nuno Borges,Sets Won %,41.7%
Nuno Borges,Matches Won %,41.2%
Nuno Borges,Match Time,2:01
