Name,Category,Info
Jenson Brooksby,Age,22 (26-10-2000)
Jenson Brooksby,Country,United States
Jenson Brooksby,Plays,Right-handed
Jenson Brooksby,Backhand,Two-handed
Jenson Brooksby,Favorite Surface,"Fast (H, G) 48%"
Jenson Brooksby,Turned Pro,2021
Jenson Brooksby,Seasons,5
Jenson Brooksby,Active,Yes
Jenson Brooksby,Prize Money,"US$845,709"
Jenson Brooksby,Wikipedia,Wikipedia
Jenson Brooksby,Current Rank,49 (920)
Jenson Brooksby,Best Rank,33 (13-06-2022)
Jenson Brooksby,Current Elo Rank,35 (1947)
Jenson Brooksby,Best Elo Rank,31 (03-04-2022)
Jenson Brooksby,Peak Elo Rating,1984 (03-04-2022)
Jenson Brooksby,Last Appearance,16-01-2023
Jenson Brooksby,Overall,57.7% (45-33)
Jenson Brooksby,Hard,61.0% (36-23)
Jenson Brooksby,Clay,28.6% (2-5)
Jenson Brooksby,Grass,58.3% (7-5)
Jenson Brooksby,H2H,"1
0
2"
Jenson Brooksby,H2H %,33.3%
Jenson Brooksby,Ace %,3.7%
Jenson Brooksby,Double Fault %,1.8%
Jenson Brooksby,1st Serve %,64.6%
Jenson Brooksby,1st Serve Won %,67.4%
Jenson Brooksby,2nd Serve Won %,51.8%
Jenson Brooksby,Break Points Saved %,58.4%
Jenson Brooksby,Service Points Won %,61.9%
Jenson Brooksby,Service Games Won %,76.1%
Jenson Brooksby,Ace Against %,6.8%
Jenson Brooksby,Double Fault Against %,3.9%
Jenson Brooksby,1st Srv. Return Won %,31.6%
Jenson Brooksby,2nd Srv. Return Won %,50.3%
Jenson Brooksby,Break Points Won %,42.2%
Jenson Brooksby,Return Points Won %,39.1%
Jenson Brooksby,Return Games Won %,26.5%
Jenson Brooksby,Points Dominance,1.03
Jenson Brooksby,Games Dominance,1.11
Jenson Brooksby,Break Points Ratio,1.02
Jenson Brooksby,Total Points Won %,50.6%
Jenson Brooksby,Games Won %,51.6%
Jenson Brooksby,Sets Won %,54.0%
Jenson Brooksby,Matches Won %,57.7%
Jenson Brooksby,Match Time,1:54
