Name,Category,Info
Alexander Bublik,Age,25 (17-06-1997)
Alexander Bublik,Country,Kazakhstan
Alexander Bublik,Height,196 cm
Alexander Bublik,Plays,Right-handed
Alexander Bublik,Backhand,Two-handed
Alexander Bublik,Favorite Surface,Grass 38%
Alexander Bublik,Turned Pro,2016
Alexander Bublik,Seasons,8
Alexander Bublik,Active,Yes
Alexander Bublik,Prize Money,"US$3,117,630"
Alexander Bublik,Wikipedia,Wikipedia
Alexander Bublik,Titles,1
Alexander Bublik,Current Rank,46 (935)
Alexander Bublik,Best Rank,30 (21-02-2022)
Alexander Bublik,Current Elo Rank,48 (1913)
Alexander Bublik,Best Elo Rank,36 (17-10-2022)
Alexander Bublik,Peak Elo Rating,1961 (31-10-2022)
Alexander Bublik,GOAT Rank,520 (1)
Alexander Bublik,Best Season,2022
Alexander Bublik,Last Appearance,27-02-2023
Alexander Bublik,Overall,50.0% (105-105)
Alexander Bublik,Hard,50.0% (74-74)
Alexander Bublik,Clay,37.9% (11-18)
Alexander Bublik,Grass,60.6% (20-13)
Alexander Bublik,H2H,"8
2
13"
Alexander Bublik,H2H %,39.1%
Alexander Bublik,Ace %,15.8%
Alexander Bublik,Double Fault %,8.2%
Alexander Bublik,1st Serve %,58.3%
Alexander Bublik,1st Serve Won %,76.8%
Alexander Bublik,2nd Serve Won %,44.9%
Alexander Bublik,Break Points Saved %,62.1%
Alexander Bublik,Service Points Won %,63.5%
Alexander Bublik,Service Games Won %,80.0%
Alexander Bublik,Ace Against %,6.3%
Alexander Bublik,Double Fault Against %,3.4%
Alexander Bublik,1st Srv. Return Won %,28.5%
Alexander Bublik,2nd Srv. Return Won %,45.8%
Alexander Bublik,Break Points Won %,38.1%
Alexander Bublik,Return Points Won %,35.0%
Alexander Bublik,Return Games Won %,18.6%
Alexander Bublik,Points Dominance,0.96
Alexander Bublik,Games Dominance,0.93
Alexander Bublik,Break Points Ratio,1.00
Alexander Bublik,Total Points Won %,49.4%
Alexander Bublik,Games Won %,49.3%
Alexander Bublik,Sets Won %,48.7%
Alexander Bublik,Matches Won %,50.0%
Alexander Bublik,Match Time,1:39
