Name,Category,Info
Pablo Carreno Busta,Age,31 (12-07-1991)
Pablo Carreno Busta,Country,Spain
Pablo Carreno Busta,Height,188 cm
Pablo Carreno Busta,Plays,Right-handed
Pablo Carreno Busta,Backhand,Two-handed
Pablo Carreno Busta,Favorite Surface,"Slow (H, Cl) 35%"
Pablo Carreno Busta,Turned Pro,2009
Pablo Carreno Busta,Seasons,12
Pablo Carreno Busta,Active,Yes
Pablo Carreno Busta,Prize Money,"US$13,386,749"
Pablo Carreno Busta,Wikipedia,Wikipedia
Pablo Carreno Busta,Titles,7
Pablo Carreno Busta,Masters,1
Pablo Carreno Busta,Davis Cups,1
Pablo Carreno Busta,Current Rank,17 (2240)
Pablo Carreno Busta,Best Rank,10 (11-09-2017)
Pablo Carreno Busta,Current Elo Rank,29 (1985)
Pablo Carreno Busta,Best Elo Rank,10 (31-07-2021)
Pablo Carreno Busta,Peak Elo Rating,2121 (22-08-2021)
Pablo Carreno Busta,GOAT Rank,146 (22)
Pablo Carreno Busta,Best Season,2017
Pablo Carreno Busta,Last Appearance,13-02-2023
Pablo Carreno Busta,Overall,55.8% (268-212)
Pablo Carreno Busta,Hard,57.1% (149-112)
Pablo Carreno Busta,Clay,56.5% (113-87)
Pablo Carreno Busta,Grass,31.6% (6-13)
Pablo Carreno Busta,H2H,"32
4
23"
Pablo Carreno Busta,H2H %,57.6%
Pablo Carreno Busta,Ace %,5.2%
Pablo Carreno Busta,Double Fault %,2.3%
Pablo Carreno Busta,1st Serve %,65.2%
Pablo Carreno Busta,1st Serve Won %,69.3%
Pablo Carreno Busta,2nd Serve Won %,52.4%
Pablo Carreno Busta,Break Points Saved %,61.3%
Pablo Carreno Busta,Service Points Won %,63.4%
Pablo Carreno Busta,Service Games Won %,79.0%
Pablo Carreno Busta,Ace Against %,8.7%
Pablo Carreno Busta,Double Fault Against %,3.9%
Pablo Carreno Busta,1st Srv. Return Won %,28.8%
Pablo Carreno Busta,2nd Srv. Return Won %,52.1%
Pablo Carreno Busta,Break Points Won %,41.2%
Pablo Carreno Busta,Return Points Won %,38.0%
Pablo Carreno Busta,Return Games Won %,24.4%
Pablo Carreno Busta,Points Dominance,1.04
Pablo Carreno Busta,Games Dominance,1.16
Pablo Carreno Busta,Break Points Ratio,1.06
Pablo Carreno Busta,Total Points Won %,50.7%
Pablo Carreno Busta,Games Won %,51.6%
Pablo Carreno Busta,Sets Won %,55.4%
Pablo Carreno Busta,Matches Won %,55.8%
Pablo Carreno Busta,Match Time,1:45
