Name,Category,Info
Pedro Cachin,Age,27 (12-04-1995)
Pedro Cachin,Country,Argentina
Pedro Cachin,Height,185 cm
Pedro Cachin,Plays,Right-handed
Pedro Cachin,Backhand,Two-handed
Pedro Cachin,Favorite Surface,None 1%
Pedro Cachin,Seasons,6
Pedro Cachin,Active,Yes
Pedro Cachin,Prize Money,"US$ 351,047"
Pedro Cachin,Wikipedia,Wikipedia
Pedro Cachin,Current Rank,66 (797)
Pedro Cachin,Best Rank,54 (14-11-2022)
Pedro Cachin,Current Elo Rank,163 (1694)
Pedro Cachin,Best Elo Rank,133 (24-10-2022)
Pedro Cachin,Peak Elo Rating,1765 (24-10-2022)
Pedro Cachin,Last Appearance,34.6% (9-17)
Pedro Cachin,Overall,36.4% (4-7)
Pedro Cachin,Hard,33.3% (5-10)
Pedro Cachin,Clay,27-02-2023
Pedro Cachin,Ace %,8.0%
Pedro Cachin,Double Fault %,2.5%
Pedro Cachin,1st Serve %,62.6%
Pedro Cachin,1st Serve Won %,70.2%
Pedro Cachin,2nd Serve Won %,48.0%
Pedro Cachin,Break Points Saved %,58.7%
Pedro Cachin,Service Points Won %,61.9%
Pedro Cachin,Service Games Won %,75.6%
Pedro Cachin,Ace Against %,5.4%
Pedro Cachin,Double Fault Against %,2.9%
Pedro Cachin,1st Srv. Return Won %,27.6%
Pedro Cachin,2nd Srv. Return Won %,47.6%
Pedro Cachin,Break Points Won %,34.4%
Pedro Cachin,Return Points Won %,35.4%
Pedro Cachin,Return Games Won %,17.7%
Pedro Cachin,Points Dominance,0.93
Pedro Cachin,Games Dominance,0.73
Pedro Cachin,Break Points Ratio,0.83
Pedro Cachin,Total Points Won %,48.7%
Pedro Cachin,Games Won %,46.5%
Pedro Cachin,Sets Won %,36.2%
Pedro Cachin,Matches Won %,34.6%
Pedro Cachin,Match Time,1:57
