Name,Category,Info
Marco Cecchinato,Age,30 (30-09-1992)
Marco Cecchinato,Country,Italy
Marco Cecchinato,Height,185 cm
Marco Cecchinato,Plays,Right-handed
Marco Cecchinato,Backhand,One-handed
Marco Cecchinato,Favorite Surface,Clay 45%
Marco Cecchinato,Turned Pro,2010
Marco Cecchinato,Seasons,11
Marco Cecchinato,Active,Yes
Marco Cecchinato,Prize Money,"US$4,300,067"
Marco Cecchinato,Wikipedia,Wikipedia
Marco Cecchinato,Titles,3
Marco Cecchinato,Current Rank,91 (605)
Marco Cecchinato,Best Rank,16 (25-02-2019)
Marco Cecchinato,Current Elo Rank,124 (1785)
Marco Cecchinato,Best Elo Rank,39 (23-07-2018)
Marco Cecchinato,Peak Elo Rating,1953 (23-07-2018)
Marco Cecchinato,GOAT Rank,321 (5)
Marco Cecchinato,Best Season,2018
Marco Cecchinato,Last Appearance,27-02-2023
Marco Cecchinato,Overall,37.8% (70-115)
Marco Cecchinato,Hard,19.6% (10-41)
Marco Cecchinato,Clay,46.4% (58-67)
Marco Cecchinato,Grass,22.2% (2-7)
Marco Cecchinato,H2H,"3
2
11"
Marco Cecchinato,H2H %,25.0%
Marco Cecchinato,Ace %,5.4%
Marco Cecchinato,Double Fault %,3.2%
Marco Cecchinato,1st Serve %,66.1%
Marco Cecchinato,1st Serve Won %,68.0%
Marco Cecchinato,2nd Serve Won %,49.2%
Marco Cecchinato,Break Points Saved %,57.0%
Marco Cecchinato,Service Points Won %,61.6%
Marco Cecchinato,Service Games Won %,75.3%
Marco Cecchinato,Ace Against %,6.7%
Marco Cecchinato,Double Fault Against %,3.4%
Marco Cecchinato,1st Srv. Return Won %,27.7%
Marco Cecchinato,2nd Srv. Return Won %,47.9%
Marco Cecchinato,Break Points Won %,36.3%
Marco Cecchinato,Return Points Won %,35.1%
Marco Cecchinato,Return Games Won %,18.3%
Marco Cecchinato,Points Dominance,0.92
Marco Cecchinato,Games Dominance,0.74
Marco Cecchinato,Break Points Ratio,0.85
Marco Cecchinato,Total Points Won %,48.6%
Marco Cecchinato,Games Won %,47.0%
Marco Cecchinato,Sets Won %,40.4%
Marco Cecchinato,Matches Won %,37.8%
Marco Cecchinato,Match Time,1:43
