Name,Category,Info
Francisco Cerundolo,Age,24 (13-08-1998)
Francisco Cerundolo,Country,Argentina
Francisco Cerundolo,Height,185 cm
Francisco Cerundolo,Plays,Right-handed
Francisco Cerundolo,Backhand,Two-handed
Francisco Cerundolo,Favorite Surface,Clay 25%
Francisco Cerundolo,Turned Pro,2018
Francisco Cerundolo,Seasons,5
Francisco Cerundolo,Active,Yes
Francisco Cerundolo,Prize Money,"$911,875"
Francisco Cerundolo,Wikipedia,Wikipedia
Francisco Cerundolo,Titles,1
Francisco Cerundolo,Current Rank,32 (1275)
Francisco Cerundolo,Best Rank,24 (25-07-2022)
Francisco Cerundolo,Current Elo Rank,69 (1870)
Francisco Cerundolo,Best Elo Rank,46 (25-07-2022)
Francisco Cerundolo,Peak Elo Rating,1930 (25-07-2022)
Francisco Cerundolo,GOAT Rank,473 (2)
Francisco Cerundolo,Best Season,2022
Francisco Cerundolo,Last Appearance,27-02-2023
Francisco Cerundolo,Overall,46.6% (34-39)
Francisco Cerundolo,Hard,38.5% (10-16)
Francisco Cerundolo,Clay,53.5% (23-20)
Francisco Cerundolo,Grass,25.0% (1-3)
Francisco Cerundolo,H2H,"0
0
3"
Francisco Cerundolo,H2H %,0.0%
Francisco Cerundolo,Ace %,3.2%
Francisco Cerundolo,Double Fault %,3.9%
Francisco Cerundolo,1st Serve %,63.2%
Francisco Cerundolo,1st Serve Won %,65.3%
Francisco Cerundolo,2nd Serve Won %,49.6%
Francisco Cerundolo,Break Points Saved %,61.4%
Francisco Cerundolo,Service Points Won %,59.5%
Francisco Cerundolo,Service Games Won %,72.9%
Francisco Cerundolo,Ace Against %,4.3%
Francisco Cerundolo,Double Fault Against %,3.0%
Francisco Cerundolo,1st Srv. Return Won %,34.1%
Francisco Cerundolo,2nd Srv. Return Won %,51.1%
Francisco Cerundolo,Break Points Won %,39.7%
Francisco Cerundolo,Return Points Won %,40.5%
Francisco Cerundolo,Return Games Won %,27.1%
Francisco Cerundolo,Points Dominance,1.00
Francisco Cerundolo,Games Dominance,1.00
Francisco Cerundolo,Break Points Ratio,1.03
Francisco Cerundolo,Total Points Won %,49.9%
Francisco Cerundolo,Games Won %,49.6%
Francisco Cerundolo,Sets Won %,46.2%
Francisco Cerundolo,Matches Won %,46.6%
Francisco Cerundolo,Match Time,1:55
