Name,Category,Info
Federico Coria,Age,30 (09-03-1992)
Federico Coria,Country,Argentina
Federico Coria,Height,180 cm
Federico Coria,Plays,Right-handed
Federico Coria,Backhand,Two-handed
Federico Coria,Favorite Surface,Clay 48%
Federico Coria,Turned Pro,2010
Federico Coria,Seasons,5
Federico Coria,Active,Yes
Federico Coria,Prize Money,"US$ 1,543,801"
Federico Coria,Wikipedia,Wikipedia
Federico Coria,Current Rank,64 (810)
Federico Coria,Best Rank,49 (13-02-2023)
Federico Coria,Current Elo Rank,116 (1793)
Federico Coria,Best Elo Rank,86 (22-05-2022)
Federico Coria,Peak Elo Rating,1839 (22-05-2022)
Federico Coria,Last Appearance,13-02-2023
Federico Coria,Overall,43.5% (40-52)
Federico Coria,Hard,23.1% (6-20)
Federico Coria,Clay,53.1% (34-30)
Federico Coria,Grass,0.0% (0-2)
Federico Coria,H2H,3
Federico Coria,H2H %,100.0%
Federico Coria,Ace %,3.3%
Federico Coria,Double Fault %,3.2%
Federico Coria,1st Serve %,66.5%
Federico Coria,1st Serve Won %,63.1%
Federico Coria,2nd Serve Won %,48.8%
Federico Coria,Break Points Saved %,56.4%
Federico Coria,Service Points Won %,58.3%
Federico Coria,Service Games Won %,67.9%
Federico Coria,Ace Against %,4.3%
Federico Coria,Double Fault Against %,3.6%
Federico Coria,1st Srv. Return Won %,32.1%
Federico Coria,2nd Srv. Return Won %,51.6%
Federico Coria,Break Points Won %,41.7%
Federico Coria,Return Points Won %,39.3%
Federico Coria,Return Games Won %,26.0%
Federico Coria,Points Dominance,0.94
Federico Coria,Games Dominance,0.81
Federico Coria,Break Points Ratio,0.96
Federico Coria,Total Points Won %,48.8%
Federico Coria,Games Won %,47.0%
Federico Coria,Sets Won %,41.0%
Federico Coria,Matches Won %,43.5%
Federico Coria,Match Time,1:53
