Name,Category,Info
Borna Coric,Age,26 (14-11-1996)
Borna Coric,Country,Croatia
Borna Coric,Height,188 cm
Borna Coric,Plays,Right-handed
Borna Coric,Backhand,Two-handed
Borna Coric,Favorite Surface,All-Rounder 3%
Borna Coric,Turned Pro,2013
Borna Coric,Seasons,11
Borna Coric,Active,Yes
Borna Coric,Prize Money,"$8,509,168"
Borna Coric,Wikipedia,Wikipedia
Borna Coric,Titles,3
Borna Coric,Masters,1
Borna Coric,Davis Cups,1
Borna Coric,Current Rank,20 (1905)
Borna Coric,Best Rank,12 (05-11-2018)
Borna Coric,Current Elo Rank,24 (2021)
Borna Coric,Best Elo Rank,13 (07-01-2019)
Borna Coric,Peak Elo Rating,2102 (04-03-2019)
Borna Coric,GOAT Rank,191 (14)
Borna Coric,Best Season,2018
Borna Coric,Last Appearance,27-02-2023
Borna Coric,Overall,54.4% (190-159)
Borna Coric,Hard,54.4% (123-103)
Borna Coric,Clay,54.9% (56-46)
Borna Coric,Grass,52.4% (11-10)
Borna Coric,H2H,"25
7
18"
Borna Coric,H2H %,57.0%
Borna Coric,Ace %,7.6%
Borna Coric,Double Fault %,2.8%
Borna Coric,1st Serve %,62.3%
Borna Coric,1st Serve Won %,72.2%
Borna Coric,2nd Serve Won %,52.9%
Borna Coric,Break Points Saved %,62.0%
Borna Coric,Service Points Won %,65.0%
Borna Coric,Service Games Won %,81.3%
Borna Coric,Ace Against %,9.0%
Borna Coric,Double Fault Against %,3.6%
Borna Coric,1st Srv. Return Won %,27.1%
Borna Coric,2nd Srv. Return Won %,49.8%
Borna Coric,Break Points Won %,38.4%
Borna Coric,Return Points Won %,36.0%
Borna Coric,Return Games Won %,20.1%
Borna Coric,Points Dominance,1.03
Borna Coric,Games Dominance,1.08
Borna Coric,Break Points Ratio,1.01
Borna Coric,Total Points Won %,50.4%
Borna Coric,Games Won %,50.6%
Borna Coric,Sets Won %,52.6%
Borna Coric,Matches Won %,54.4%
Borna Coric,Match Time,1:49
