Name,Category,Info
Maxime Cressy,Age,25 (08-05-1997)
Maxime Cressy,Country,United States
Maxime Cressy,Height,198 cm
Maxime Cressy,Plays,Right-handed
Maxime Cressy,Backhand,Two-handed
Maxime Cressy,Favorite Surface,Grass 69%
Maxime Cressy,Turned Pro,2019
Maxime Cressy,Seasons,4
Maxime Cressy,Active,Yes
Maxime Cressy,Prize Money,"$1,006,731"
Maxime Cressy,Wikipedia,Wikipedia
Maxime Cressy,Titles,1
Maxime Cressy,Current Rank,37 (1016)
Maxime Cressy,Best Rank,31 (08-08-2022)
Maxime Cressy,Current Elo Rank,46 (1914)
Maxime Cressy,Best Elo Rank,42 (13-02-2023)
Maxime Cressy,Peak Elo Rating,1928 (20-02-2023)
Maxime Cressy,GOAT Rank,520 (1)
Maxime Cressy,Best Season,2022
Maxime Cressy,Last Appearance,27-02-2023
Maxime Cressy,Overall,50.0% (40-40)
Maxime Cressy,Hard,48.3% (28-30)
Maxime Cressy,Clay,16.7% (1-5)
Maxime Cressy,Grass,68.8% (11-5)
Maxime Cressy,H2H,"1
0
1"
Maxime Cressy,H2H %,50.0%
Maxime Cressy,Ace %,18.0%
Maxime Cressy,Double Fault %,10.0%
Maxime Cressy,1st Serve %,61.3%
Maxime Cressy,1st Serve Won %,78.7%
Maxime Cressy,2nd Serve Won %,53.4%
Maxime Cressy,Break Points Saved %,66.0%
Maxime Cressy,Service Points Won %,68.9%
Maxime Cressy,Service Games Won %,88.2%
Maxime Cressy,Ace Against %,9.5%
Maxime Cressy,Double Fault Against %,4.1%
Maxime Cressy,1st Srv. Return Won %,24.3%
Maxime Cressy,2nd Srv. Return Won %,43.0%
Maxime Cressy,Break Points Won %,39.2%
Maxime Cressy,Return Points Won %,31.1%
Maxime Cressy,Return Games Won %,13.3%
Maxime Cressy,Points Dominance,1.00
Maxime Cressy,Games Dominance,1.13
Maxime Cressy,Break Points Ratio,1.15
Maxime Cressy,Total Points Won %,50.1%
Maxime Cressy,Games Won %,50.9%
Maxime Cressy,Sets Won %,49.8%
Maxime Cressy,Matches Won %,50.0%
Maxime Cressy,Match Time,2:05
