Name,Category,Info
Hugo Dellien,Age,29 (16-06-1993)
Hugo Dellien,Country,"Bolivia, Plurinational State of"
Hugo Dellien,Height,180 cm
Hugo Dellien,Plays,Right-handed
Hugo Dellien,Backhand,Two-handed
Hugo Dellien,Favorite Surface,Clay 28%
Hugo Dellien,Turned Pro,2009
Hugo Dellien,Seasons,11
Hugo Dellien,Active,Yes
Hugo Dellien,Prize Money,"US $1,350,395"
Hugo Dellien,Wikipedia,Wikipedia
Hugo Dellien,Current Rank,99 (561)
Hugo Dellien,Best Rank,64 (01-08-2022)
Hugo Dellien,Current Elo Rank,129 (1779)
Hugo Dellien,Best Elo Rank,127 (23-09-2019)
Hugo Dellien,Peak Elo Rating,1781 (20-09-2019)
Hugo Dellien,Last Appearance,40.2% (33-49)
Hugo Dellien,Overall,29.4% (5-12)
Hugo Dellien,Hard,45.0% (27-33)
Hugo Dellien,Clay,0.0% (0-2)
Hugo Dellien,Grass,20-02-2023
Hugo Dellien,Ace %,2.6%
Hugo Dellien,Double Fault %,2.2%
Hugo Dellien,1st Serve %,73.1%
Hugo Dellien,1st Serve Won %,62.4%
Hugo Dellien,2nd Serve Won %,47.6%
Hugo Dellien,Break Points Saved %,59.0%
Hugo Dellien,Service Points Won %,58.4%
Hugo Dellien,Service Games Won %,68.5%
Hugo Dellien,Ace Against %,5.9%
Hugo Dellien,Double Fault Against %,4.1%
Hugo Dellien,1st Srv. Return Won %,30.6%
Hugo Dellien,2nd Srv. Return Won %,50.3%
Hugo Dellien,Break Points Won %,37.1%
Hugo Dellien,Return Points Won %,38.1%
Hugo Dellien,Return Games Won %,22.5%
Hugo Dellien,Points Dominance,0.92
Hugo Dellien,Games Dominance,0.72
Hugo Dellien,Break Points Ratio,0.90
Hugo Dellien,Total Points Won %,48.3%
Hugo Dellien,Games Won %,46.9%
Hugo Dellien,Sets Won %,42.8%
Hugo Dellien,Matches Won %,40.2%
Hugo Dellien,Match Time,1:48
