Name,Category,Info
Grigor Dimitrov,Age,31 (16-05-1991)
Grigor Dimitrov,Country,Bulgaria
Grigor Dimitrov,Birthplace,"Haskovo, Bulgaria"
Grigor Dimitrov,Residence,"Monte-Carlo, Monaco"
Grigor Dimitrov,Height,188 cm
Grigor Dimitrov,Weight,80 kg
Grigor Dimitrov,Plays,Right-handed
Grigor Dimitrov,Backhand,One-handed
Grigor Dimitrov,Favorite Surface,All-Rounder 9%
Grigor Dimitrov,Coach,Dante Bottini
Grigor Dimitrov,Turned Pro,2008
Grigor Dimitrov,Seasons,16
Grigor Dimitrov,Active,Yes
Grigor Dimitrov,Prize Money,"US$$21,265,457"
Grigor Dimitrov,Wikipedia,Wikipedia
Grigor Dimitrov,Facebook,grigordimitrovtennis
Grigor Dimitrov,Twitter,@grigordimitrov
Grigor Dimitrov,Titles,8
Grigor Dimitrov,Tour Finals,1
Grigor Dimitrov,Masters,1
Grigor Dimitrov,Current Rank,25 (1620)
Grigor Dimitrov,Best Rank,3 (20-11-2017)
Grigor Dimitrov,Current Elo Rank,26 (2014)
Grigor Dimitrov,Best Elo Rank,6 (29-01-2018)
Grigor Dimitrov,Peak Elo Rating,2203 (19-02-2018)
Grigor Dimitrov,GOAT Rank,88 (42)
Grigor Dimitrov,Best Season,2017
Grigor Dimitrov,Last Appearance,20-02-2023
Grigor Dimitrov,Overall,59.6% (378-256)
Grigor Dimitrov,Hard,60.4% (255-167)
Grigor Dimitrov,Clay,58.3% (84-60)
Grigor Dimitrov,Grass,56.1% (37-29)
Grigor Dimitrov,Carpet,100.0% (2-0)
Grigor Dimitrov,H2H,"51
5
29"
Grigor Dimitrov,H2H %,62.9%
Grigor Dimitrov,Ace %,8.5%
Grigor Dimitrov,Double Fault %,4.4%
Grigor Dimitrov,1st Serve %,62.4%
Grigor Dimitrov,1st Serve Won %,74.5%
Grigor Dimitrov,2nd Serve Won %,51.2%
Grigor Dimitrov,Break Points Saved %,62.8%
Grigor Dimitrov,Service Points Won %,65.7%
Grigor Dimitrov,Service Games Won %,82.5%
Grigor Dimitrov,Ace Against %,6.9%
Grigor Dimitrov,Double Fault Against %,3.6%
Grigor Dimitrov,1st Srv. Return Won %,29.6%
Grigor Dimitrov,2nd Srv. Return Won %,49.3%
Grigor Dimitrov,Break Points Won %,38.6%
Grigor Dimitrov,Return Points Won %,37.1%
Grigor Dimitrov,Return Games Won %,22.0%
Grigor Dimitrov,Points Dominance,1.08
Grigor Dimitrov,Games Dominance,1.25
Grigor Dimitrov,Break Points Ratio,1.04
Grigor Dimitrov,Total Points Won %,51.3%
Grigor Dimitrov,Games Won %,52.6%
Grigor Dimitrov,Sets Won %,57.3%
Grigor Dimitrov,Matches Won %,59.6%
Grigor Dimitrov,Match Time,1:45
