Name,Category,Info
Laslo Djere,Age,27 (02-06-1995)
Laslo Djere,Country,Serbia
Laslo Djere,Height,188 cm
Laslo Djere,Plays,Right-handed
Laslo Djere,Backhand,Two-handed
Laslo Djere,Favorite Surface,Clay 56%
Laslo Djere,Turned Pro,2013
Laslo Djere,Seasons,10
Laslo Djere,Active,Yes
Laslo Djere,Prize Money,"US$3,478,224"
Laslo Djere,Wikipedia,Wikipedia
Laslo Djere,Titles,2
Laslo Djere,Current Rank,54 (860)
Laslo Djere,Best Rank,27 (10-06-2019)
Laslo Djere,Current Elo Rank,72 (1863)
Laslo Djere,Best Elo Rank,53 (26-07-2021)
Laslo Djere,Peak Elo Rating,1917 (26-07-2021)
Laslo Djere,GOAT Rank,388 (3)
Laslo Djere,Best Season,2019
Laslo Djere,Last Appearance,27-02-2023
Laslo Djere,Overall,47.9% (104-113)
Laslo Djere,Hard,32.5% (26-54)
Laslo Djere,Clay,60.0% (75-50)
Laslo Djere,Grass,25.0% (3-9)
Laslo Djere,H2H,"8
2
8"
Laslo Djere,H2H %,50.0%
Laslo Djere,Ace %,6.5%
Laslo Djere,Double Fault %,4.4%
Laslo Djere,1st Serve %,60.0%
Laslo Djere,1st Serve Won %,70.7%
Laslo Djere,2nd Serve Won %,50.2%
Laslo Djere,Break Points Saved %,60.8%
Laslo Djere,Service Points Won %,62.5%
Laslo Djere,Service Games Won %,77.6%
Laslo Djere,Ace Against %,4.9%
Laslo Djere,Double Fault Against %,3.3%
Laslo Djere,1st Srv. Return Won %,29.0%
Laslo Djere,2nd Srv. Return Won %,48.7%
Laslo Djere,Break Points Won %,37.8%
Laslo Djere,Return Points Won %,36.5%
Laslo Djere,Return Games Won %,20.9%
Laslo Djere,Points Dominance,0.97
Laslo Djere,Games Dominance,0.94
Laslo Djere,Break Points Ratio,0.96
Laslo Djere,Total Points Won %,49.5%
Laslo Djere,Games Won %,49.2%
Laslo Djere,Sets Won %,46.4%
Laslo Djere,Matches Won %,47.9%
Laslo Djere,Match Time,1:58
