Name,Category,Info
Novak Djokovic,Age,35 (22-05-1987)
Novak Djokovic,Country,Serbia
Novak Djokovic,Birthplace,"Belgrade, Serbia"
Novak Djokovic,Residence,"Monte Carlo, Monaco"
Novak Djokovic,Height,188 cm
Novak Djokovic,Weight,77 kg
Novak Djokovic,Plays,Right-handed
Novak Djokovic,Backhand,Two-handed
Novak Djokovic,Favorite Surface,Hard 15%
Novak Djokovic,Coach,Marian Vajda and Goran Ivanisevic
Novak Djokovic,Turned Pro,2003
Novak Djokovic,Seasons,20
Novak Djokovic,Active,Yes
Novak Djokovic,Prize Money,"US$ 156,136,601 * All-time leader in earnings"
Novak Djokovic,Wikipedia,Wikipedia
Novak Djokovic,Website,novakdjokovic.com
Novak Djokovic,Facebook,djokovic.official
Novak Djokovic,Twitter,@DjokerNole
Novak Djokovic,Nicknames,"Nole, Djoker"
Novak Djokovic,Titles,93
Novak Djokovic,Grand Slams,22
Novak Djokovic,Tour Finals,6
Novak Djokovic,Masters,38
Novak Djokovic,Davis Cups,1
Novak Djokovic,Team Cups,1
Novak Djokovic,Current Rank,1 (7160)
Novak Djokovic,Best Rank,1 (04-07-2011)
Novak Djokovic,Current Elo Rank,1 (2433)
Novak Djokovic,Best Elo Rank,1 (21-03-2011)
Novak Djokovic,Peak Elo Rating,2629 (01-02-2016)
Novak Djokovic,GOAT Rank,1 (1024)
Novak Djokovic,Weeks at No. 1,379
Novak Djokovic,Best Season,2015
Novak Djokovic,Last Appearance,27-02-2023
Novak Djokovic,Overall,83.6% (1045-205)
Novak Djokovic,Hard,84.8% (669-120)
Novak Djokovic,Clay,80.4% (258-63)
Novak Djokovic,Grass,85.8% (109-18)
Novak Djokovic,Carpet,69.2% (9-4)
Novak Djokovic,H2H,"117
3
4"
Novak Djokovic,H2H %,95.6%
Novak Djokovic,Ace %,7.2%
Novak Djokovic,Double Fault %,3.0%
Novak Djokovic,1st Serve %,64.9%
Novak Djokovic,1st Serve Won %,74.0%
Novak Djokovic,2nd Serve Won %,55.5%
Novak Djokovic,Break Points Saved %,65.4%
Novak Djokovic,Service Points Won %,67.5%
Novak Djokovic,Service Games Won %,86.0%
Novak Djokovic,Ace Against %,6.5%
Novak Djokovic,Double Fault Against %,3.5%
Novak Djokovic,1st Srv. Return Won %,33.8%
Novak Djokovic,2nd Srv. Return Won %,55.2%
Novak Djokovic,Break Points Won %,44.3%
Novak Djokovic,Return Points Won %,42.2%
Novak Djokovic,Return Games Won %,32.1%
Novak Djokovic,Points Dominance,1.30
Novak Djokovic,Games Dominance,2.29
Novak Djokovic,Break Points Ratio,1.28
Novak Djokovic,Total Points Won %,54.5%
Novak Djokovic,Games Won %,59.4%
Novak Djokovic,Sets Won %,76.6%
Novak Djokovic,Matches Won %,83.6%
Novak Djokovic,Match Time,1:52
