Name,Category,Info
Jack Draper,Age,21 (22-12-2001)
Jack Draper,Country,United Kingdom
Jack Draper,Height,191 cm
Jack Draper,Plays,Left-handed
Jack Draper,Backhand,Two-handed
Jack Draper,Favorite Surface,None 8%
Jack Draper,Turned Pro,2018
Jack Draper,Seasons,3
Jack Draper,Active,Yes
Jack Draper,Prize Money,"$262,800"
Jack Draper,Wikipedia,Wikipedia
Jack Draper,Current Rank,56 (854)
Jack Draper,Best Rank,38 (16-01-2023)
Jack Draper,Current Elo Rank,37 (1941)
Jack Draper,Best Elo Rank,37 (27-02-2023)
Jack Draper,Peak Elo Rating,1944 (16-01-2023)
Jack Draper,Last Appearance,16-01-2023
Jack Draper,Overall,56.1% (23-18)
Jack Draper,Hard,55.6% (15-12)
Jack Draper,Clay,50.0% (1-1)
Jack Draper,Grass,58.3% (7-5)
Jack Draper,H2H,"0
0
1"
Jack Draper,H2H %,0.0%
Jack Draper,Ace %,10.8%
Jack Draper,Double Fault %,4.2%
Jack Draper,1st Serve %,57.9%
Jack Draper,1st Serve Won %,75.2%
Jack Draper,2nd Serve Won %,51.6%
Jack Draper,Break Points Saved %,68.0%
Jack Draper,Service Points Won %,65.3%
Jack Draper,Service Games Won %,82.7%
Jack Draper,Ace Against %,9.9%
Jack Draper,Double Fault Against %,3.7%
Jack Draper,1st Srv. Return Won %,28.1%
Jack Draper,2nd Srv. Return Won %,51.5%
Jack Draper,Break Points Won %,38.6%
Jack Draper,Return Points Won %,36.6%
Jack Draper,Return Games Won %,22.6%
Jack Draper,Points Dominance,1.06
Jack Draper,Games Dominance,1.30
Jack Draper,Break Points Ratio,1.21
Jack Draper,Total Points Won %,51.1%
Jack Draper,Games Won %,52.2%
Jack Draper,Sets Won %,59.4%
Jack Draper,Matches Won %,56.1%
Jack Draper,Match Time,1:47
