Name,Category,Info
Tomas Martin Etcheverry,Age,23 (18-07-1999)
Tomas Martin Etcheverry,Country,Argentina
Tomas Martin Etcheverry,Height,196 cm
Tomas Martin Etcheverry,Plays,Right-handed
Tomas Martin Etcheverry,Backhand,Two-handed
Tomas Martin Etcheverry,Favorite Surface,Clay 16%
Tomas Martin Etcheverry,Seasons,3
Tomas Martin Etcheverry,Active,Yes
Tomas Martin Etcheverry,Prize Money,"$336,472"
Tomas Martin Etcheverry,Wikipedia,Wikipedia
Tomas Martin Etcheverry,Current Rank,61 (822)
Tomas Martin Etcheverry,Best Rank,61 (06-03-2023)
Tomas Martin Etcheverry,Current Elo Rank,111 (1796)
Tomas Martin Etcheverry,Best Elo Rank,111 (06-03-2023)
Tomas Martin Etcheverry,Peak Elo Rating,1796 (06-03-2023)
Tomas Martin Etcheverry,Last Appearance,27-02-2023
Tomas Martin Etcheverry,Overall,33.3% (11-22)
Tomas Martin Etcheverry,Hard,27.3% (3-8)
Tomas Martin Etcheverry,Clay,38.1% (8-13)
Tomas Martin Etcheverry,Grass,0.0% (0-1)
Tomas Martin Etcheverry,H2H,"0
0
1"
Tomas Martin Etcheverry,H2H %,0.0%
Tomas Martin Etcheverry,Ace %,6.3%
Tomas Martin Etcheverry,Double Fault %,2.9%
Tomas Martin Etcheverry,1st Serve %,65.0%
Tomas Martin Etcheverry,1st Serve Won %,67.3%
Tomas Martin Etcheverry,2nd Serve Won %,51.2%
Tomas Martin Etcheverry,Break Points Saved %,60.3%
Tomas Martin Etcheverry,Service Points Won %,61.7%
Tomas Martin Etcheverry,Service Games Won %,75.5%
Tomas Martin Etcheverry,Ace Against %,5.9%
Tomas Martin Etcheverry,Double Fault Against %,3.0%
Tomas Martin Etcheverry,1st Srv. Return Won %,27.6%
Tomas Martin Etcheverry,2nd Srv. Return Won %,47.3%
Tomas Martin Etcheverry,Break Points Won %,34.2%
Tomas Martin Etcheverry,Return Points Won %,35.0%
Tomas Martin Etcheverry,Return Games Won %,17.3%
Tomas Martin Etcheverry,Points Dominance,0.91
Tomas Martin Etcheverry,Games Dominance,0.71
Tomas Martin Etcheverry,Break Points Ratio,0.86
Tomas Martin Etcheverry,Total Points Won %,48.4%
Tomas Martin Etcheverry,Games Won %,46.3%
Tomas Martin Etcheverry,Sets Won %,37.5%
Tomas Martin Etcheverry,Matches Won %,33.3%
Tomas Martin Etcheverry,Match Time,2:13
