Name,Category,Info
Daniel Evans,Age,32 (23-05-1990)
Daniel Evans,Country,United Kingdom
Daniel Evans,Height,175 cm
Daniel Evans,Plays,Right-handed
Daniel Evans,Backhand,One-handed
Daniel Evans,Favorite Surface,Hard 29%
Daniel Evans,Turned Pro,2006
Daniel Evans,Seasons,16
Daniel Evans,Active,Yes
Daniel Evans,Prize Money,"US $4,894,127"
Daniel Evans,Wikipedia,Wikipedia
Daniel Evans,Titles,1
Daniel Evans,Davis Cups,1
Daniel Evans,Current Rank,29 (1380)
Daniel Evans,Best Rank,22 (27-09-2021)
Daniel Evans,Current Elo Rank,43 (1923)
Daniel Evans,Best Elo Rank,25 (08-02-2021)
Daniel Evans,Peak Elo Rating,2002 (08-02-2021)
Daniel Evans,GOAT Rank,412 (3)
Daniel Evans,Best Season,2021
Daniel Evans,Last Appearance,27-02-2023
Daniel Evans,Overall,48.7% (131-138)
Daniel Evans,Hard,52.1% (101-93)
Daniel Evans,Clay,35.9% (14-25)
Daniel Evans,Grass,44.4% (16-20)
Daniel Evans,H2H,"11
1
14"
Daniel Evans,H2H %,44.2%
Daniel Evans,Ace %,5.4%
Daniel Evans,Double Fault %,3.5%
Daniel Evans,1st Serve %,61.3%
Daniel Evans,1st Serve Won %,70.4%
Daniel Evans,2nd Serve Won %,50.9%
Daniel Evans,Break Points Saved %,61.3%
Daniel Evans,Service Points Won %,62.8%
Daniel Evans,Service Games Won %,77.5%
Daniel Evans,Ace Against %,8.5%
Daniel Evans,Double Fault Against %,3.7%
Daniel Evans,1st Srv. Return Won %,29.8%
Daniel Evans,2nd Srv. Return Won %,50.3%
Daniel Evans,Break Points Won %,41.2%
Daniel Evans,Return Points Won %,37.6%
Daniel Evans,Return Games Won %,23.2%
Daniel Evans,Points Dominance,1.01
Daniel Evans,Games Dominance,1.03
Daniel Evans,Break Points Ratio,1.06
Daniel Evans,Total Points Won %,50.2%
Daniel Evans,Games Won %,50.0%
Daniel Evans,Sets Won %,49.6%
Daniel Evans,Matches Won %,48.7%
Daniel Evans,Match Time,2:06
