Name,Category,Info
Fabio Fognini,Age,35 (24-05-1987)
Fabio Fognini,Country,Italy
Fabio Fognini,Height,178 cm
Fabio Fognini,Plays,Right-handed
Fabio Fognini,Backhand,Two-handed
Fabio Fognini,Favorite Surface,Clay 19%
Fabio Fognini,Turned Pro,2004
Fabio Fognini,Seasons,19
Fabio Fognini,Active,Yes
Fabio Fognini,Prize Money,"US$16,673,573 34th all-time leader in earnings"
Fabio Fognini,Wikipedia,Wikipedia
Fabio Fognini,Website,FabioFognini.eu
Fabio Fognini,Titles,9
Fabio Fognini,Masters,1
Fabio Fognini,Current Rank,88 (643)
Fabio Fognini,Best Rank,9 (15-07-2019)
Fabio Fognini,Current Elo Rank,91 (1814)
Fabio Fognini,Best Elo Rank,14 (11-04-2014)
Fabio Fognini,Peak Elo Rating,2112 (20-04-2014)
Fabio Fognini,GOAT Rank,160 (18)
Fabio Fognini,Best Season,2019
Fabio Fognini,Last Appearance,27-02-2023
Fabio Fognini,Overall,52.5% (405-366)
Fabio Fognini,Hard,47.0% (155-175)
Fabio Fognini,Clay,57.2% (226-169)
Fabio Fognini,Grass,51.2% (22-21)
Fabio Fognini,Carpet,0.0% (0-1)
Fabio Fognini,H2H,"40
12
47"
Fabio Fognini,H2H %,46.5%
Fabio Fognini,Ace %,4.1%
Fabio Fognini,Double Fault %,5.0%
Fabio Fognini,1st Serve %,59.1%
Fabio Fognini,1st Serve Won %,67.5%
Fabio Fognini,2nd Serve Won %,48.4%
Fabio Fognini,Break Points Saved %,57.1%
Fabio Fognini,Service Points Won %,59.7%
Fabio Fognini,Service Games Won %,72.0%
Fabio Fognini,Ace Against %,6.1%
Fabio Fognini,Double Fault Against %,3.6%
Fabio Fognini,1st Srv. Return Won %,31.5%
Fabio Fognini,2nd Srv. Return Won %,50.7%
Fabio Fognini,Break Points Won %,42.7%
Fabio Fognini,Return Points Won %,39.1%
Fabio Fognini,Return Games Won %,26.8%
Fabio Fognini,Points Dominance,0.97
Fabio Fognini,Games Dominance,0.96
Fabio Fognini,Break Points Ratio,1.00
Fabio Fognini,Total Points Won %,49.5%
Fabio Fognini,Games Won %,49.4%
Fabio Fognini,Sets Won %,51.0%
Fabio Fognini,Matches Won %,52.5%
Fabio Fognini,Match Time,1:44
