Name,Category,Info
Alejandro Davidovich Fokina,Age,23 (05-06-1999)
Alejandro Davidovich Fokina,Country,Spain
Alejandro Davidovich Fokina,Height,183 cm
Alejandro Davidovich Fokina,Plays,Right-handed
Alejandro Davidovich Fokina,Backhand,Two-handed
Alejandro Davidovich Fokina,Favorite Surface,Clay 25%
Alejandro Davidovich Fokina,Turned Pro,2019
Alejandro Davidovich Fokina,Seasons,5
Alejandro Davidovich Fokina,Active,Yes
Alejandro Davidovich Fokina,Prize Money,"US$ 2,733,019"
Alejandro Davidovich Fokina,Wikipedia,Wikipedia
Alejandro Davidovich Fokina,Current Rank,28 (1390)
Alejandro Davidovich Fokina,Best Rank,27 (18-04-2022)
Alejandro Davidovich Fokina,Current Elo Rank,41 (1926)
Alejandro Davidovich Fokina,Best Elo Rank,24 (13-06-2021)
Alejandro Davidovich Fokina,Peak Elo Rating,1998 (13-06-2021)
Alejandro Davidovich Fokina,GOAT Rank,428 (3)
Alejandro Davidovich Fokina,Best Season,2022
Alejandro Davidovich Fokina,Last Appearance,27-02-2023
Alejandro Davidovich Fokina,Overall,49.7% (71-72)
Alejandro Davidovich Fokina,Hard,47.4% (37-41)
Alejandro Davidovich Fokina,Clay,54.5% (30-25)
Alejandro Davidovich Fokina,Grass,40.0% (4-6)
Alejandro Davidovich Fokina,H2H,"3
0
6"
Alejandro Davidovich Fokina,H2H %,33.3%
Alejandro Davidovich Fokina,Ace %,3.0%
Alejandro Davidovich Fokina,Double Fault %,3.3%
Alejandro Davidovich Fokina,1st Serve %,67.4%
Alejandro Davidovich Fokina,1st Serve Won %,65.2%
Alejandro Davidovich Fokina,2nd Serve Won %,49.7%
Alejandro Davidovich Fokina,Break Points Saved %,57.0%
Alejandro Davidovich Fokina,Service Points Won %,60.2%
Alejandro Davidovich Fokina,Service Games Won %,72.5%
Alejandro Davidovich Fokina,Ace Against %,6.9%
Alejandro Davidovich Fokina,Double Fault Against %,3.5%
Alejandro Davidovich Fokina,1st Srv. Return Won %,32.0%
Alejandro Davidovich Fokina,2nd Srv. Return Won %,50.9%
Alejandro Davidovich Fokina,Break Points Won %,41.0%
Alejandro Davidovich Fokina,Return Points Won %,39.3%
Alejandro Davidovich Fokina,Return Games Won %,26.7%
Alejandro Davidovich Fokina,Points Dominance,0.99
Alejandro Davidovich Fokina,Games Dominance,0.97
Alejandro Davidovich Fokina,Break Points Ratio,0.95
Alejandro Davidovich Fokina,Total Points Won %,49.8%
Alejandro Davidovich Fokina,Games Won %,49.8%
Alejandro Davidovich Fokina,Sets Won %,50.0%
Alejandro Davidovich Fokina,Matches Won %,49.7%
Alejandro Davidovich Fokina,Match Time,2:00
