Name,Category,Info
Taylor Harry Fritz,Age,25 (28-10-1997)
Taylor Harry Fritz,Country,United States
Taylor Harry Fritz,Height,193 cm
Taylor Harry Fritz,Plays,Right-handed
Taylor Harry Fritz,Backhand,Two-handed
Taylor Harry Fritz,Favorite Surface,None 12%
Taylor Harry Fritz,Turned Pro,2015
Taylor Harry Fritz,Seasons,9
Taylor Harry Fritz,Active,Yes
Taylor Harry Fritz,Prize Money,"US$7,560,065"
Taylor Harry Fritz,Wikipedia,Wikipedia
Taylor Harry Fritz,Titles,5
Taylor Harry Fritz,Masters,1
Taylor Harry Fritz,Team Cups,1
Taylor Harry Fritz,Current Rank,5 (3795)
Taylor Harry Fritz,Best Rank,5 (27-02-2023)
Taylor Harry Fritz,Current Elo Rank,10 (2112)
Taylor Harry Fritz,Best Elo Rank,10 (16-01-2023)
Taylor Harry Fritz,Peak Elo Rating,2113 (09-01-2023)
Taylor Harry Fritz,GOAT Rank,166 (17)
Taylor Harry Fritz,Best Season,2022
Taylor Harry Fritz,Last Appearance,27-02-2023
Taylor Harry Fritz,Overall,56.3% (187-145)
Taylor Harry Fritz,Hard,57.7% (142-104)
Taylor Harry Fritz,Clay,51.0% (25-24)
Taylor Harry Fritz,Grass,54.1% (20-17)
Taylor Harry Fritz,H2H,"19
5
15"
Taylor Harry Fritz,H2H %,55.1%
Taylor Harry Fritz,Ace %,11.5%
Taylor Harry Fritz,Double Fault %,3.1%
Taylor Harry Fritz,1st Serve %,59.4%
Taylor Harry Fritz,1st Serve Won %,75.6%
Taylor Harry Fritz,2nd Serve Won %,51.1%
Taylor Harry Fritz,Break Points Saved %,62.0%
Taylor Harry Fritz,Service Points Won %,65.6%
Taylor Harry Fritz,Service Games Won %,82.7%
Taylor Harry Fritz,Ace Against %,8.7%
Taylor Harry Fritz,Double Fault Against %,4.1%
Taylor Harry Fritz,1st Srv. Return Won %,26.9%
Taylor Harry Fritz,2nd Srv. Return Won %,50.0%
Taylor Harry Fritz,Break Points Won %,36.5%
Taylor Harry Fritz,Return Points Won %,35.7%
Taylor Harry Fritz,Return Games Won %,19.5%
Taylor Harry Fritz,Points Dominance,1.04
Taylor Harry Fritz,Games Dominance,1.13
Taylor Harry Fritz,Break Points Ratio,0.96
Taylor Harry Fritz,Total Points Won %,50.6%
Taylor Harry Fritz,Games Won %,51.3%
Taylor Harry Fritz,Sets Won %,54.6%
Taylor Harry Fritz,Matches Won %,56.3%
Taylor Harry Fritz,Match Time,1:47
