Name,Category,Info
Marton Fucsovics,Age,31 (08-02-1992)
Marton Fucsovics,Country,Hungary
Marton Fucsovics,Height,188 cm
Marton Fucsovics,Plays,Right-handed
Marton Fucsovics,Backhand,Two-handed
Marton Fucsovics,Favorite Surface,Clay 21%
Marton Fucsovics,Turned Pro,2009
Marton Fucsovics,Seasons,13
Marton Fucsovics,Active,Yes
Marton Fucsovics,Prize Money,"US$4,904,310"
Marton Fucsovics,Wikipedia,Wikipedia
Marton Fucsovics,Titles,1
Marton Fucsovics,Current Rank,84 (652)
Marton Fucsovics,Best Rank,31 (04-03-2019)
Marton Fucsovics,Current Elo Rank,63 (1882)
Marton Fucsovics,Best Elo Rank,21 (04-04-2021)
Marton Fucsovics,Peak Elo Rating,2018 (12-07-2021)
Marton Fucsovics,GOAT Rank,412 (3)
Marton Fucsovics,Best Season,2021
Marton Fucsovics,Last Appearance,20-02-2023
Marton Fucsovics,Overall,50.0% (125-125)
Marton Fucsovics,Hard,49.0% (73-76)
Marton Fucsovics,Clay,53.6% (37-32)
Marton Fucsovics,Grass,42.3% (11-15)
Marton Fucsovics,Carpet,50.0% (2-2)
Marton Fucsovics,H2H,"10
3
14"
Marton Fucsovics,H2H %,42.6%
Marton Fucsovics,Ace %,5.3%
Marton Fucsovics,Double Fault %,4.2%
Marton Fucsovics,1st Serve %,57.9%
Marton Fucsovics,1st Serve Won %,70.1%
Marton Fucsovics,2nd Serve Won %,50.8%
Marton Fucsovics,Break Points Saved %,60.3%
Marton Fucsovics,Service Points Won %,61.9%
Marton Fucsovics,Service Games Won %,76.5%
Marton Fucsovics,Ace Against %,4.4%
Marton Fucsovics,Double Fault Against %,3.3%
Marton Fucsovics,1st Srv. Return Won %,31.2%
Marton Fucsovics,2nd Srv. Return Won %,50.3%
Marton Fucsovics,Break Points Won %,39.2%
Marton Fucsovics,Return Points Won %,38.7%
Marton Fucsovics,Return Games Won %,24.6%
Marton Fucsovics,Points Dominance,1.02
Marton Fucsovics,Games Dominance,1.04
Marton Fucsovics,Break Points Ratio,0.99
Marton Fucsovics,Total Points Won %,50.2%
Marton Fucsovics,Games Won %,51.1%
Marton Fucsovics,Sets Won %,51.1%
Marton Fucsovics,Matches Won %,50.0%
Marton Fucsovics,Match Time,2:04
