Name,Category,Info
Christian Garin,Age,26 (30-05-1996)
Christian Garin,Country,Chile
Christian Garin,Height,185 cm
Christian Garin,Plays,Right-handed
Christian Garin,Backhand,Two-handed
Christian Garin,Favorite Surface,Clay 43%
Christian Garin,Turned Pro,2011
Christian Garin,Seasons,12
Christian Garin,Active,Yes
Christian Garin,Prize Money,"US$4,075,746"
Christian Garin,Wikipedia,Wikipedia
Christian Garin,Titles,5
Christian Garin,Current Rank,97 (566)
Christian Garin,Best Rank,17 (13-09-2021)
Christian Garin,Current Elo Rank,59 (1888)
Christian Garin,Best Elo Rank,26 (13-06-2021)
Christian Garin,Peak Elo Rating,2010 (12-07-2021)
Christian Garin,GOAT Rank,267 (7)
Christian Garin,Best Season,2020
Christian Garin,Last Appearance,27-02-2023
Christian Garin,Overall,51.0% (100-96)
Christian Garin,Hard,34.4% (22-42)
Christian Garin,Clay,61.1% (69-44)
Christian Garin,Grass,50.0% (9-9)
Christian Garin,H2H,"4
3
10"
Christian Garin,H2H %,32.4%
Christian Garin,Ace %,5.1%
Christian Garin,Double Fault %,3.8%
Christian Garin,1st Serve %,61.0%
Christian Garin,1st Serve Won %,68.8%
Christian Garin,2nd Serve Won %,49.5%
Christian Garin,Break Points Saved %,59.9%
Christian Garin,Service Points Won %,61.3%
Christian Garin,Service Games Won %,74.7%
Christian Garin,Ace Against %,7.2%
Christian Garin,Double Fault Against %,3.9%
Christian Garin,1st Srv. Return Won %,31.1%
Christian Garin,2nd Srv. Return Won %,49.9%
Christian Garin,Break Points Won %,40.2%
Christian Garin,Return Points Won %,38.3%
Christian Garin,Return Games Won %,24.7%
Christian Garin,Points Dominance,0.99
Christian Garin,Games Dominance,0.98
Christian Garin,Break Points Ratio,1.00
Christian Garin,Total Points Won %,49.7%
Christian Garin,Games Won %,49.8%
Christian Garin,Sets Won %,49.5%
Christian Garin,Matches Won %,51.0%
Christian Garin,Match Time,1:58
