Name,Category,Info
Richard Gasquet,Age,36 (18-06-1986)
Richard Gasquet,Country,France
Richard Gasquet,Birthplace,"Beziers, France"
Richard Gasquet,Residence,"Neuchatel, Switzerland"
Richard Gasquet,Height,185 cm
Richard Gasquet,Weight,75 kg
Richard Gasquet,Plays,Right-handed
Richard Gasquet,Backhand,One-handed
Richard Gasquet,Favorite Surface,Grass 13%
Richard Gasquet,Coach,Thierry Ascione
Richard Gasquet,Turned Pro,2002
Richard Gasquet,Seasons,22
Richard Gasquet,Active,Yes
Richard Gasquet,Prize Money,"US$19,265,661 28th all-time leader in earnings"
Richard Gasquet,Wikipedia,Wikipedia
Richard Gasquet,Website,richardgasquet.net
Richard Gasquet,Twitter,@richardgasquet1
Richard Gasquet,Titles,16
Richard Gasquet,Davis Cups,1
Richard Gasquet,Current Rank,43 (955)
Richard Gasquet,Best Rank,7 (09-07-2007)
Richard Gasquet,Current Elo Rank,39 (1936)
Richard Gasquet,Best Elo Rank,9 (08-10-2007)
Richard Gasquet,Peak Elo Rating,2196 (08-02-2016)
Richard Gasquet,GOAT Rank,94 (39)
Richard Gasquet,Best Season,2013
Richard Gasquet,Last Appearance,20-02-2023
Richard Gasquet,Overall,61.6% (594-370)
Richard Gasquet,Hard,60.8% (351-226)
Richard Gasquet,Clay,61.3% (160-101)
Richard Gasquet,Grass,67.0% (73-36)
Richard Gasquet,Carpet,56.3% (9-7)
Richard Gasquet,H2H,"75
13
31"
Richard Gasquet,H2H %,68.5%
Richard Gasquet,Ace %,7.1%
Richard Gasquet,Double Fault %,3.2%
Richard Gasquet,1st Serve %,61.4%
Richard Gasquet,1st Serve Won %,72.9%
Richard Gasquet,2nd Serve Won %,53.0%
Richard Gasquet,Break Points Saved %,60.8%
Richard Gasquet,Service Points Won %,65.2%
Richard Gasquet,Service Games Won %,81.6%
Richard Gasquet,Ace Against %,8.5%
Richard Gasquet,Double Fault Against %,3.4%
Richard Gasquet,1st Srv. Return Won %,30.1%
Richard Gasquet,2nd Srv. Return Won %,50.6%
Richard Gasquet,Break Points Won %,40.6%
Richard Gasquet,Return Points Won %,38.1%
Richard Gasquet,Return Games Won %,24.4%
Richard Gasquet,Points Dominance,1.09
Richard Gasquet,Games Dominance,1.33
Richard Gasquet,Break Points Ratio,1.04
Richard Gasquet,Total Points Won %,51.6%
Richard Gasquet,Games Won %,53.1%
Richard Gasquet,Sets Won %,59.3%
Richard Gasquet,Matches Won %,61.6%
Richard Gasquet,Match Time,1:40
