Name,Category,Info
Marcos Giron,Age,29 (24-07-1993)
Marcos Giron,Country,United States
Marcos Giron,Height,180 cm
Marcos Giron,Plays,Right-handed
Marcos Giron,Backhand,Two-handed
Marcos Giron,Favorite Surface,"Fast (H, G) 29%"
Marcos Giron,Turned Pro,2014
Marcos Giron,Seasons,7
Marcos Giron,Active,Yes
Marcos Giron,Prize Money,"US$2,008,784"
Marcos Giron,Wikipedia,Wikipedia
Marcos Giron,Current Rank,73 (731)
Marcos Giron,Best Rank,49 (16-05-2022)
Marcos Giron,Current Elo Rank,61 (1888)
Marcos Giron,Best Elo Rank,41 (28-02-2022)
Marcos Giron,Peak Elo Rating,1934 (28-02-2022)
Marcos Giron,Last Appearance,27-02-2023
Marcos Giron,Overall,46.2% (60-70)
Marcos Giron,Hard,48.5% (48-51)
Marcos Giron,Clay,33.3% (6-12)
Marcos Giron,Grass,46.2% (6-7)
Marcos Giron,H2H,"2
0
6"
Marcos Giron,H2H %,25.0%
Marcos Giron,Ace %,6.3%
Marcos Giron,Double Fault %,2.3%
Marcos Giron,1st Serve %,61.3%
Marcos Giron,1st Serve Won %,70.7%
Marcos Giron,2nd Serve Won %,50.6%
Marcos Giron,Break Points Saved %,60.2%
Marcos Giron,Service Points Won %,62.9%
Marcos Giron,Service Games Won %,77.9%
Marcos Giron,Ace Against %,7.9%
Marcos Giron,Double Fault Against %,3.7%
Marcos Giron,1st Srv. Return Won %,27.2%
Marcos Giron,2nd Srv. Return Won %,48.0%
Marcos Giron,Break Points Won %,37.7%
Marcos Giron,Return Points Won %,35.0%
Marcos Giron,Return Games Won %,18.4%
Marcos Giron,Points Dominance,0.94
Marcos Giron,Games Dominance,0.83
Marcos Giron,Break Points Ratio,0.95
Marcos Giron,Total Points Won %,49.0%
Marcos Giron,Games Won %,47.7%
Marcos Giron,Sets Won %,44.7%
Marcos Giron,Matches Won %,46.2%
Marcos Giron,Match Time,1:54
