Name,Category,Info
David Goffin,Age,32 (07-12-1990)
David Goffin,Country,Belgium
David Goffin,Height,180 cm
David Goffin,Plays,Right-handed
David Goffin,Backhand,Two-handed
David Goffin,Favorite Surface,"Slow (H, Cl) 14%"
David Goffin,Turned Pro,2009
David Goffin,Seasons,13
David Goffin,Active,Yes
David Goffin,Prize Money,"US$15,682,647 40th all-time in earnings"
David Goffin,Wikipedia,Wikipedia
David Goffin,Titles,6
David Goffin,Current Rank,40 (985)
David Goffin,Best Rank,7 (20-11-2017)
David Goffin,Current Elo Rank,58 (1891)
David Goffin,Best Elo Rank,8 (21-05-2018)
David Goffin,Peak Elo Rating,2165 (01-12-2017)
David Goffin,GOAT Rank,119 (28)
David Goffin,Best Season,2017
David Goffin,Last Appearance,20-02-2023
David Goffin,Overall,58.4% (319-227)
David Goffin,Hard,57.7% (202-148)
David Goffin,Clay,61.1% (88-56)
David Goffin,Grass,56.0% (28-22)
David Goffin,H2H,"43
8
22"
David Goffin,H2H %,64.4%
David Goffin,Ace %,6.8%
David Goffin,Double Fault %,4.3%
David Goffin,1st Serve %,58.2%
David Goffin,1st Serve Won %,71.5%
David Goffin,2nd Serve Won %,50.3%
David Goffin,Break Points Saved %,59.9%
David Goffin,Service Points Won %,62.6%
David Goffin,Service Games Won %,77.3%
David Goffin,Ace Against %,7.6%
David Goffin,Double Fault Against %,3.8%
David Goffin,1st Srv. Return Won %,31.3%
David Goffin,2nd Srv. Return Won %,52.6%
David Goffin,Break Points Won %,41.3%
David Goffin,Return Points Won %,39.7%
David Goffin,Return Games Won %,27.3%
David Goffin,Points Dominance,1.06
David Goffin,Games Dominance,1.20
David Goffin,Break Points Ratio,1.03
David Goffin,Total Points Won %,51.0%
David Goffin,Games Won %,52.4%
David Goffin,Sets Won %,55.9%
David Goffin,Matches Won %,58.4%
David Goffin,Match Time,1:42
