Name,Category,Info
Emilio Gomez,Age,31 (28-11-1991)
Emilio Gomez,Country,Ecuador
Emilio Gomez,Height,185 cm
Emilio Gomez,Plays,Right-handed
Emilio Gomez,Backhand,Two-handed
Emilio Gomez,Favorite Surface,Clay 25%
Emilio Gomez,Seasons,12
Emilio Gomez,Active,Yes
Emilio Gomez,Prize Money,"$ 476,486"
Emilio Gomez,Wikipedia,Wikipedia
Emilio Gomez,Current Rank,92 (603)
Emilio Gomez,Best Rank,90 (27-02-2023)
Emilio Gomez,Current Elo Rank,159 (1706)
Emilio Gomez,Best Elo Rank,152 (10-02-2017)
Emilio Gomez,Peak Elo Rating,1744 (10-02-2017)
Emilio Gomez,Last Appearance,43.2% (19-25)
Emilio Gomez,Overall,35.5% (11-20)
Emilio Gomez,Hard,50.0% (5-5)
Emilio Gomez,Clay,27-02-2023
Emilio Gomez,Ace %,4.8%
Emilio Gomez,Double Fault %,3.3%
Emilio Gomez,1st Serve %,61.7%
Emilio Gomez,1st Serve Won %,70.4%
Emilio Gomez,2nd Serve Won %,46.6%
Emilio Gomez,Break Points Saved %,60.1%
Emilio Gomez,Service Points Won %,61.3%
Emilio Gomez,Service Games Won %,74.5%
Emilio Gomez,Ace Against %,8.2%
Emilio Gomez,Double Fault Against %,3.6%
Emilio Gomez,1st Srv. Return Won %,27.3%
Emilio Gomez,2nd Srv. Return Won %,48.1%
Emilio Gomez,Break Points Won %,40.9%
Emilio Gomez,Return Points Won %,35.1%
Emilio Gomez,Return Games Won %,20.1%
Emilio Gomez,Points Dominance,0.91
Emilio Gomez,Games Dominance,0.79
Emilio Gomez,Break Points Ratio,1.02
Emilio Gomez,Total Points Won %,48.6%
Emilio Gomez,Games Won %,49.0%
Emilio Gomez,Sets Won %,46.3%
Emilio Gomez,Matches Won %,43.2%
Emilio Gomez,Match Time,1:54
