Name,Category,Info
Tallon Griekspoor,Age,26 (02-07-1996)
Tallon Griekspoor,Country,Netherlands
Tallon Griekspoor,Height,188 cm
Tallon Griekspoor,Plays,Right-handed
Tallon Griekspoor,Backhand,Two-handed
Tallon Griekspoor,Favorite Surface,"Fast (H, G) 14%"
Tallon Griekspoor,Turned Pro,2015
Tallon Griekspoor,Seasons,7
Tallon Griekspoor,Active,Yes
Tallon Griekspoor,Prize Money,"US$1,036,488"
Tallon Griekspoor,Wikipedia,Wikipedia
Tallon Griekspoor,Titles,1
Tallon Griekspoor,Current Rank,36 (1034)
Tallon Griekspoor,Best Rank,36 (06-03-2023)
Tallon Griekspoor,Current Elo Rank,45 (1917)
Tallon Griekspoor,Best Elo Rank,45 (06-03-2023)
Tallon Griekspoor,Peak Elo Rating,1917 (06-03-2023)
Tallon Griekspoor,GOAT Rank,520 (1)
Tallon Griekspoor,Best Season,2023
Tallon Griekspoor,Last Appearance,27-02-2023
Tallon Griekspoor,Overall,42.9% (33-44)
Tallon Griekspoor,Hard,43.4% (23-30)
Tallon Griekspoor,Clay,38.5% (5-8)
Tallon Griekspoor,Grass,45.5% (5-6)
Tallon Griekspoor,H2H,"1
0
1"
Tallon Griekspoor,H2H %,50.0%
Tallon Griekspoor,Ace %,8.9%
Tallon Griekspoor,Double Fault %,3.6%
Tallon Griekspoor,1st Serve %,63.8%
Tallon Griekspoor,1st Serve Won %,72.5%
Tallon Griekspoor,2nd Serve Won %,50.9%
Tallon Griekspoor,Break Points Saved %,63.7%
Tallon Griekspoor,Service Points Won %,64.7%
Tallon Griekspoor,Service Games Won %,81.2%
Tallon Griekspoor,Ace Against %,10.3%
Tallon Griekspoor,Double Fault Against %,3.9%
Tallon Griekspoor,1st Srv. Return Won %,23.4%
Tallon Griekspoor,2nd Srv. Return Won %,47.7%
Tallon Griekspoor,Break Points Won %,35.1%
Tallon Griekspoor,Return Points Won %,32.5%
Tallon Griekspoor,Return Games Won %,14.0%
Tallon Griekspoor,Points Dominance,0.92
Tallon Griekspoor,Games Dominance,0.74
Tallon Griekspoor,Break Points Ratio,0.97
Tallon Griekspoor,Total Points Won %,48.9%
Tallon Griekspoor,Games Won %,47.9%
Tallon Griekspoor,Sets Won %,44.8%
Tallon Griekspoor,Matches Won %,42.9%
Tallon Griekspoor,Match Time,1:52
