Name,Category,Info
Marc Andrea Huesler,Age,26 (24-06-1996)
Marc Andrea Huesler,Country,Switzerland
Marc Andrea Huesler,Height,196 cm
Marc Andrea Huesler,Plays,Left-handed
Marc Andrea Huesler,Backhand,Two-handed
Marc Andrea Huesler,Favorite Surface,None 13%
Marc Andrea Huesler,Turned Pro,2016
Marc Andrea Huesler,Seasons,6
Marc Andrea Huesler,Active,Yes
Marc Andrea Huesler,Prize Money,"$408,556"
Marc Andrea Huesler,Wikipedia,Wikipedia
Marc Andrea Huesler,Titles,1
Marc Andrea Huesler,Current Rank,51 (890)
Marc Andrea Huesler,Best Rank,47 (13-02-2023)
Marc Andrea Huesler,Current Elo Rank,112 (1795)
Marc Andrea Huesler,Best Elo Rank,76 (16-01-2023)
Marc Andrea Huesler,Peak Elo Rating,1849 (16-01-2023)
Marc Andrea Huesler,GOAT Rank,520 (1)
Marc Andrea Huesler,Best Season,2022
Marc Andrea Huesler,Last Appearance,27-02-2023
Marc Andrea Huesler,Overall,44.4% (20-25)
Marc Andrea Huesler,Hard,48.4% (15-16)
Marc Andrea Huesler,Clay,41.7% (5-7)
Marc Andrea Huesler,Grass,0.0% (0-2)
Marc Andrea Huesler,H2H,"1
0
1"
Marc Andrea Huesler,H2H %,50.0%
Marc Andrea Huesler,Ace %,10.9%
Marc Andrea Huesler,Double Fault %,3.3%
Marc Andrea Huesler,1st Serve %,60.5%
Marc Andrea Huesler,1st Serve Won %,74.8%
Marc Andrea Huesler,2nd Serve Won %,52.8%
Marc Andrea Huesler,Break Points Saved %,61.6%
Marc Andrea Huesler,Service Points Won %,66.1%
Marc Andrea Huesler,Service Games Won %,83.3%
Marc Andrea Huesler,Ace Against %,8.6%
Marc Andrea Huesler,Double Fault Against %,4.4%
Marc Andrea Huesler,1st Srv. Return Won %,24.1%
Marc Andrea Huesler,2nd Srv. Return Won %,47.5%
Marc Andrea Huesler,Break Points Won %,40.8%
Marc Andrea Huesler,Return Points Won %,33.0%
Marc Andrea Huesler,Return Games Won %,15.3%
Marc Andrea Huesler,Points Dominance,0.97
Marc Andrea Huesler,Games Dominance,0.92
Marc Andrea Huesler,Break Points Ratio,1.06
Marc Andrea Huesler,Total Points Won %,49.7%
Marc Andrea Huesler,Games Won %,48.8%
Marc Andrea Huesler,Sets Won %,46.2%
Marc Andrea Huesler,Matches Won %,44.4%
Marc Andrea Huesler,Match Time,1:44
