Name,Category,Info
Ugo Humbert,Age,24 (26-06-1998)
Ugo Humbert,Country,France
Ugo Humbert,Height,188 cm
Ugo Humbert,Plays,Left-handed
Ugo Humbert,Backhand,Two-handed
Ugo Humbert,Favorite Surface,Grass 47%
Ugo Humbert,Turned Pro,2016
Ugo Humbert,Seasons,6
Ugo Humbert,Active,Yes
Ugo Humbert,Prize Money,"US$2,856,586"
Ugo Humbert,Wikipedia,Wikipedia
Ugo Humbert,Titles,3
Ugo Humbert,Current Rank,77 (678)
Ugo Humbert,Best Rank,25 (21-06-2021)
Ugo Humbert,Current Elo Rank,77 (1849)
Ugo Humbert,Best Elo Rank,25 (11-01-2021)
Ugo Humbert,Peak Elo Rating,2002 (09-11-2020)
Ugo Humbert,GOAT Rank,351 (4)
Ugo Humbert,Best Season,2020
Ugo Humbert,Last Appearance,06-02-2023
Ugo Humbert,Overall,47.3% (71-79)
Ugo Humbert,Hard,47.9% (46-50)
Ugo Humbert,Clay,30.8% (8-18)
Ugo Humbert,Grass,60.7% (17-11)
Ugo Humbert,H2H,"3
1
5"
Ugo Humbert,H2H %,38.9%
Ugo Humbert,Ace %,8.4%
Ugo Humbert,Double Fault %,3.4%
Ugo Humbert,1st Serve %,62.0%
Ugo Humbert,1st Serve Won %,73.4%
Ugo Humbert,2nd Serve Won %,51.8%
Ugo Humbert,Break Points Saved %,64.0%
Ugo Humbert,Service Points Won %,65.2%
Ugo Humbert,Service Games Won %,81.9%
Ugo Humbert,Ace Against %,8.1%
Ugo Humbert,Double Fault Against %,3.6%
Ugo Humbert,1st Srv. Return Won %,26.9%
Ugo Humbert,2nd Srv. Return Won %,47.1%
Ugo Humbert,Break Points Won %,35.3%
Ugo Humbert,Return Points Won %,34.4%
Ugo Humbert,Return Games Won %,17.2%
Ugo Humbert,Points Dominance,0.99
Ugo Humbert,Games Dominance,0.95
Ugo Humbert,Break Points Ratio,0.98
Ugo Humbert,Total Points Won %,49.9%
Ugo Humbert,Games Won %,50.1%
Ugo Humbert,Sets Won %,49.1%
Ugo Humbert,Matches Won %,47.3%
Ugo Humbert,Match Time,2:01
