Name,Category,Info
Hubert Hurkacz,Age,26 (11-02-1997)
Hubert Hurkacz,Country,Poland
Hubert Hurkacz,Height,196 cm
Hubert Hurkacz,Plays,Right-handed
Hubert Hurkacz,Backhand,Two-handed
Hubert Hurkacz,Favorite Surface,"Fast (H, G) 21%"
Hubert Hurkacz,Turned Pro,2015
Hubert Hurkacz,Seasons,8
Hubert Hurkacz,Active,Yes
Hubert Hurkacz,Prize Money,"US$6,353,995"
Hubert Hurkacz,Wikipedia,Wikipedia
Hubert Hurkacz,Titles,6
Hubert Hurkacz,Masters,1
Hubert Hurkacz,Current Rank,11 (3110)
Hubert Hurkacz,Best Rank,9 (08-11-2021)
Hubert Hurkacz,Current Elo Rank,16 (2082)
Hubert Hurkacz,Best Elo Rank,11 (15-08-2022)
Hubert Hurkacz,Peak Elo Rating,2099 (20-06-2022)
Hubert Hurkacz,GOAT Rank,165 (17)
Hubert Hurkacz,Best Season,2021
Hubert Hurkacz,Last Appearance,27-02-2023
Hubert Hurkacz,Overall,57.6% (136-100)
Hubert Hurkacz,Hard,59.4% (104-71)
Hubert Hurkacz,Clay,47.4% (18-20)
Hubert Hurkacz,Grass,60.9% (14-9)
Hubert Hurkacz,H2H,"13
1
15"
Hubert Hurkacz,H2H %,46.6%
Hubert Hurkacz,Ace %,12.4%
Hubert Hurkacz,Double Fault %,3.0%
Hubert Hurkacz,1st Serve %,63.1%
Hubert Hurkacz,1st Serve Won %,75.2%
Hubert Hurkacz,2nd Serve Won %,52.0%
Hubert Hurkacz,Break Points Saved %,64.7%
Hubert Hurkacz,Service Points Won %,66.6%
Hubert Hurkacz,Service Games Won %,84.7%
Hubert Hurkacz,Ace Against %,7.1%
Hubert Hurkacz,Double Fault Against %,3.8%
Hubert Hurkacz,1st Srv. Return Won %,27.4%
Hubert Hurkacz,2nd Srv. Return Won %,48.0%
Hubert Hurkacz,Break Points Won %,37.1%
Hubert Hurkacz,Return Points Won %,35.3%
Hubert Hurkacz,Return Games Won %,18.6%
Hubert Hurkacz,Points Dominance,1.06
Hubert Hurkacz,Games Dominance,1.21
Hubert Hurkacz,Break Points Ratio,1.05
Hubert Hurkacz,Total Points Won %,50.9%
Hubert Hurkacz,Games Won %,52.0%
Hubert Hurkacz,Sets Won %,55.6%
Hubert Hurkacz,Matches Won %,57.6%
Hubert Hurkacz,Match Time,1:52
