Name,Category,Info
John Isner,Age,37 (26-04-1985)
John Isner,Country,United States
John Isner,Birthplace,"Greensboro, North Carolina, U.S."
John Isner,Residence,"Dallas, Texas, U.S."
John Isner,Height,208 cm
John Isner,Weight,111 kg
John Isner,Plays,Right-handed
John Isner,Backhand,Two-handed
John Isner,Favorite Surface,Grass 22%
John Isner,Coach,David Macpherson
John Isner,Turned Pro,2007
John Isner,Seasons,17
John Isner,Active,Yes
John Isner,Prize Money,"US$21,121,427 21th all-time leader in earnings"
John Isner,Wikipedia,Wikipedia
John Isner,Website,www.johnisner.com
John Isner,Facebook,JohnIsner
John Isner,Twitter,@johnisner
John Isner,Titles,16
John Isner,Masters,1
John Isner,Current Rank,39 (995)
John Isner,Best Rank,8 (16-07-2018)
John Isner,Current Elo Rank,32 (1960)
John Isner,Best Elo Rank,10 (13-04-2012)
John Isner,Peak Elo Rating,2147 (26-08-2012)
John Isner,GOAT Rank,75 (49)
John Isner,Best Season,2018
John Isner,Last Appearance,27-02-2023
John Isner,Overall,61.5% (482-302)
John Isner,Hard,62.3% (347-210)
John Isner,Clay,55.8% (82-65)
John Isner,Grass,66.3% (53-27)
John Isner,H2H,"66
11
38"
John Isner,H2H %,62.2%
John Isner,Ace %,21.3%
John Isner,Double Fault %,2.6%
John Isner,1st Serve %,69.1%
John Isner,1st Serve Won %,78.8%
John Isner,2nd Serve Won %,56.0%
John Isner,Break Points Saved %,70.8%
John Isner,Service Points Won %,71.7%
John Isner,Service Games Won %,91.8%
John Isner,Ace Against %,9.1%
John Isner,Double Fault Against %,3.7%
John Isner,1st Srv. Return Won %,22.3%
John Isner,2nd Srv. Return Won %,41.8%
John Isner,Break Points Won %,30.3%
John Isner,Return Points Won %,29.6%
John Isner,Return Games Won %,10.1%
John Isner,Points Dominance,1.05
John Isner,Games Dominance,1.24
John Isner,Break Points Ratio,1.04
John Isner,Total Points Won %,50.6%
John Isner,Games Won %,51.1%
John Isner,Sets Won %,58.5%
John Isner,Matches Won %,61.5%
John Isner,Match Time,1:51
