Name,Category,Info
Ilya Ivashka,Age,29 (24-02-1994)
Ilya Ivashka,Country,Belarus
Ilya Ivashka,Height,193 cm
Ilya Ivashka,Plays,Right-handed
Ilya Ivashka,Backhand,Two-handed
Ilya Ivashka,Favorite Surface,"Fast (H, G) 25%"
Ilya Ivashka,Turned Pro,2013
Ilya Ivashka,Seasons,8
Ilya Ivashka,Active,Yes
Ilya Ivashka,Prize Money,"US$1,947,392"
Ilya Ivashka,Wikipedia,Wikipedia
Ilya Ivashka,Titles,1
Ilya Ivashka,Current Rank,85 (651)
Ilya Ivashka,Best Rank,40 (20-06-2022)
Ilya Ivashka,Current Elo Rank,42 (1924)
Ilya Ivashka,Best Elo Rank,29 (13-09-2021)
Ilya Ivashka,Peak Elo Rating,1987 (08-11-2021)
Ilya Ivashka,GOAT Rank,520 (1)
Ilya Ivashka,Best Season,2021
Ilya Ivashka,Last Appearance,20-02-2023
Ilya Ivashka,Overall,51.6% (79-74)
Ilya Ivashka,Hard,53.9% (55-47)
Ilya Ivashka,Clay,43.3% (13-17)
Ilya Ivashka,Grass,57.9% (11-8)
Ilya Ivashka,H2H,"4
2
5"
Ilya Ivashka,H2H %,45.5%
Ilya Ivashka,Ace %,7.4%
Ilya Ivashka,Double Fault %,3.8%
Ilya Ivashka,1st Serve %,61.8%
Ilya Ivashka,1st Serve Won %,71.6%
Ilya Ivashka,2nd Serve Won %,49.5%
Ilya Ivashka,Break Points Saved %,60.1%
Ilya Ivashka,Service Points Won %,63.2%
Ilya Ivashka,Service Games Won %,78.4%
Ilya Ivashka,Ace Against %,6.8%
Ilya Ivashka,Double Fault Against %,4.4%
Ilya Ivashka,1st Srv. Return Won %,29.4%
Ilya Ivashka,2nd Srv. Return Won %,51.1%
Ilya Ivashka,Break Points Won %,39.2%
Ilya Ivashka,Return Points Won %,37.9%
Ilya Ivashka,Return Games Won %,23.3%
Ilya Ivashka,Points Dominance,1.03
Ilya Ivashka,Games Dominance,1.08
Ilya Ivashka,Break Points Ratio,0.98
Ilya Ivashka,Total Points Won %,50.5%
Ilya Ivashka,Games Won %,50.8%
Ilya Ivashka,Sets Won %,51.5%
Ilya Ivashka,Matches Won %,51.6%
Ilya Ivashka,Match Time,2:01
