Name,Category,Info
Nicolas Jarry,Age,27 (11-10-1995)
Nicolas Jarry,Country,Chile
Nicolas Jarry,Height,198 cm
Nicolas Jarry,Plays,Right-handed
Nicolas Jarry,Backhand,Two-handed
Nicolas Jarry,Favorite Surface,Clay 44%
Nicolas Jarry,Turned Pro,2014
Nicolas Jarry,Seasons,10
Nicolas Jarry,Active,Yes
Nicolas Jarry,Prize Money,"US$2,244,274"
Nicolas Jarry,Wikipedia,Wikipedia
Nicolas Jarry,Titles,2
Nicolas Jarry,Current Rank,52 (866)
Nicolas Jarry,Best Rank,38 (22-07-2019)
Nicolas Jarry,Current Elo Rank,62 (1887)
Nicolas Jarry,Best Elo Rank,45 (22-07-2019)
Nicolas Jarry,Peak Elo Rating,1939 (22-07-2019)
Nicolas Jarry,GOAT Rank,433 (2)
Nicolas Jarry,Best Season,2023
Nicolas Jarry,Last Appearance,27-02-2023
Nicolas Jarry,Overall,48.5% (64-68)
Nicolas Jarry,Hard,30.2% (13-30)
Nicolas Jarry,Clay,59.5% (47-32)
Nicolas Jarry,Grass,40.0% (4-6)
Nicolas Jarry,H2H,"2
0
7"
Nicolas Jarry,H2H %,22.2%
Nicolas Jarry,Ace %,11.0%
Nicolas Jarry,Double Fault %,3.4%
Nicolas Jarry,1st Serve %,63.2%
Nicolas Jarry,1st Serve Won %,73.1%
Nicolas Jarry,2nd Serve Won %,52.3%
Nicolas Jarry,Break Points Saved %,62.3%
Nicolas Jarry,Service Points Won %,65.5%
Nicolas Jarry,Service Games Won %,82.3%
Nicolas Jarry,Ace Against %,6.7%
Nicolas Jarry,Double Fault Against %,4.2%
Nicolas Jarry,1st Srv. Return Won %,25.9%
Nicolas Jarry,2nd Srv. Return Won %,45.8%
Nicolas Jarry,Break Points Won %,36.6%
Nicolas Jarry,Return Points Won %,33.4%
Nicolas Jarry,Return Games Won %,15.3%
Nicolas Jarry,Points Dominance,0.97
Nicolas Jarry,Games Dominance,0.87
Nicolas Jarry,Break Points Ratio,0.97
Nicolas Jarry,Total Points Won %,49.6%
Nicolas Jarry,Games Won %,49.1%
Nicolas Jarry,Sets Won %,48.6%
Nicolas Jarry,Matches Won %,48.5%
Nicolas Jarry,Match Time,1:52
