Name,Category,Info
Miomir Kecmanovic,Age,23 (31-08-1999)
Miomir Kecmanovic,Country,Serbia
Miomir Kecmanovic,Height,183 cm
Miomir Kecmanovic,Plays,Right-handed
Miomir Kecmanovic,Backhand,Two-handed
Miomir Kecmanovic,Favorite Surface,All-Rounder 9%
Miomir Kecmanovic,Turned Pro,2017
Miomir Kecmanovic,Seasons,6
Miomir Kecmanovic,Active,Yes
Miomir Kecmanovic,Prize Money,"US$3,380,827"
Miomir Kecmanovic,Wikipedia,Wikipedia
Miomir Kecmanovic,Titles,1
Miomir Kecmanovic,Current Rank,31 (1290)
Miomir Kecmanovic,Best Rank,27 (16-01-2023)
Miomir Kecmanovic,Current Elo Rank,40 (1928)
Miomir Kecmanovic,Best Elo Rank,27 (08-08-2022)
Miomir Kecmanovic,Peak Elo Rating,1977 (08-08-2022)
Miomir Kecmanovic,GOAT Rank,520 (1)
Miomir Kecmanovic,Best Season,2020
Miomir Kecmanovic,Last Appearance,27-02-2023
Miomir Kecmanovic,Overall,51.3% (97-92)
Miomir Kecmanovic,Hard,50.8% (64-62)
Miomir Kecmanovic,Clay,53.3% (24-21)
Miomir Kecmanovic,Grass,50.0% (9-9)
Miomir Kecmanovic,H2H,"7
2
10"
Miomir Kecmanovic,H2H %,42.1%
Miomir Kecmanovic,Ace %,5.4%
Miomir Kecmanovic,Double Fault %,2.7%
Miomir Kecmanovic,1st Serve %,61.1%
Miomir Kecmanovic,1st Serve Won %,69.6%
Miomir Kecmanovic,2nd Serve Won %,53.7%
Miomir Kecmanovic,Break Points Saved %,61.8%
Miomir Kecmanovic,Service Points Won %,63.4%
Miomir Kecmanovic,Service Games Won %,78.0%
Miomir Kecmanovic,Ace Against %,9.4%
Miomir Kecmanovic,Double Fault Against %,4.3%
Miomir Kecmanovic,1st Srv. Return Won %,28.2%
Miomir Kecmanovic,2nd Srv. Return Won %,51.6%
Miomir Kecmanovic,Break Points Won %,39.9%
Miomir Kecmanovic,Return Points Won %,37.2%
Miomir Kecmanovic,Return Games Won %,22.2%
Miomir Kecmanovic,Points Dominance,1.02
Miomir Kecmanovic,Games Dominance,1.01
Miomir Kecmanovic,Break Points Ratio,1.04
Miomir Kecmanovic,Total Points Won %,50.2%
Miomir Kecmanovic,Games Won %,50.0%
Miomir Kecmanovic,Sets Won %,50.3%
Miomir Kecmanovic,Matches Won %,51.3%
Miomir Kecmanovic,Match Time,1:48
