Name,Category,Info
Karen Khachanov,Age,26 (21-05-1996)
Karen Khachanov,Country,Russian Federation
Karen Khachanov,Height,198 cm
Karen Khachanov,Plays,Right-handed
Karen Khachanov,Backhand,Two-handed
Karen Khachanov,Favorite Surface,Grass 18%
Karen Khachanov,Turned Pro,2013
Karen Khachanov,Seasons,11
Karen Khachanov,Active,Yes
Karen Khachanov,Prize Money,"US$10,270,529"
Karen Khachanov,Wikipedia,Wikipedia
Karen Khachanov,Titles,4
Karen Khachanov,Masters,1
Karen Khachanov,Current Rank,15 (2470)
Karen Khachanov,Best Rank,8 (15-07-2019)
Karen Khachanov,Current Elo Rank,19 (2067)
Karen Khachanov,Best Elo Rank,10 (08-02-2019)
Karen Khachanov,Peak Elo Rating,2137 (05-11-2018)
Karen Khachanov,GOAT Rank,161 (18)
Karen Khachanov,Best Season,2018
Karen Khachanov,Last Appearance,27-02-2023
Karen Khachanov,Overall,56.9% (215-163)
Karen Khachanov,Hard,56.3% (142-110)
Karen Khachanov,Clay,55.6% (50-40)
Karen Khachanov,Grass,65.7% (23-12)
Karen Khachanov,H2H,"24
6
20"
Karen Khachanov,H2H %,54.0%
Karen Khachanov,Ace %,9.5%
Karen Khachanov,Double Fault %,3.3%
Karen Khachanov,1st Serve %,62.3%
Karen Khachanov,1st Serve Won %,73.4%
Karen Khachanov,2nd Serve Won %,51.6%
Karen Khachanov,Break Points Saved %,63.6%
Karen Khachanov,Service Points Won %,65.2%
Karen Khachanov,Service Games Won %,82.1%
Karen Khachanov,Ace Against %,7.1%
Karen Khachanov,Double Fault Against %,3.5%
Karen Khachanov,1st Srv. Return Won %,28.3%
Karen Khachanov,2nd Srv. Return Won %,50.0%
Karen Khachanov,Break Points Won %,40.0%
Karen Khachanov,Return Points Won %,36.6%
Karen Khachanov,Return Games Won %,20.9%
Karen Khachanov,Points Dominance,1.05
Karen Khachanov,Games Dominance,1.16
Karen Khachanov,Break Points Ratio,1.10
Karen Khachanov,Total Points Won %,50.8%
Karen Khachanov,Games Won %,51.6%
Karen Khachanov,Sets Won %,55.2%
Karen Khachanov,Matches Won %,56.9%
Karen Khachanov,Match Time,1:57
