Name,Category,Info
Thanasi Kokkinakis,Age,26 (10-04-1996)
Thanasi Kokkinakis,Country,Australia
Thanasi Kokkinakis,Height,196 cm
Thanasi Kokkinakis,Plays,Right-handed
Thanasi Kokkinakis,Backhand,Two-handed
Thanasi Kokkinakis,Favorite Surface,Hard 24%
Thanasi Kokkinakis,Turned Pro,2013
Thanasi Kokkinakis,Seasons,9
Thanasi Kokkinakis,Active,Yes
Thanasi Kokkinakis,Prize Money,"$2,054,764"
Thanasi Kokkinakis,Wikipedia,Wikipedia
Thanasi Kokkinakis,Titles,1
Thanasi Kokkinakis,Current Rank,94 (577)
Thanasi Kokkinakis,Best Rank,69 (08-06-2015)
Thanasi Kokkinakis,Current Elo Rank,56 (1895)
Thanasi Kokkinakis,Best Elo Rank,48 (22-05-2022)
Thanasi Kokkinakis,Peak Elo Rating,1914 (22-05-2022)
Thanasi Kokkinakis,GOAT Rank,520 (1)
Thanasi Kokkinakis,Best Season,2022
Thanasi Kokkinakis,Last Appearance,27-02-2023
Thanasi Kokkinakis,Overall,43.2% (51-67)
Thanasi Kokkinakis,Hard,45.7% (43-51)
Thanasi Kokkinakis,Clay,33.3% (4-8)
Thanasi Kokkinakis,Grass,36.4% (4-7)
Thanasi Kokkinakis,H2H,"1
0
5"
Thanasi Kokkinakis,H2H %,16.7%
Thanasi Kokkinakis,Ace %,12.2%
Thanasi Kokkinakis,Double Fault %,4.0%
Thanasi Kokkinakis,1st Serve %,60.9%
Thanasi Kokkinakis,1st Serve Won %,75.7%
Thanasi Kokkinakis,2nd Serve Won %,49.1%
Thanasi Kokkinakis,Break Points Saved %,65.0%
Thanasi Kokkinakis,Service Points Won %,65.3%
Thanasi Kokkinakis,Service Games Won %,82.6%
Thanasi Kokkinakis,Ace Against %,9.0%
Thanasi Kokkinakis,Double Fault Against %,3.9%
Thanasi Kokkinakis,1st Srv. Return Won %,24.5%
Thanasi Kokkinakis,2nd Srv. Return Won %,47.3%
Thanasi Kokkinakis,Break Points Won %,35.3%
Thanasi Kokkinakis,Return Points Won %,33.2%
Thanasi Kokkinakis,Return Games Won %,14.6%
Thanasi Kokkinakis,Points Dominance,0.96
Thanasi Kokkinakis,Games Dominance,0.84
Thanasi Kokkinakis,Break Points Ratio,1.01
Thanasi Kokkinakis,Total Points Won %,49.3%
Thanasi Kokkinakis,Games Won %,48.4%
Thanasi Kokkinakis,Sets Won %,44.5%
Thanasi Kokkinakis,Matches Won %,43.2%
Thanasi Kokkinakis,Match Time,1:56
