Name,Category,Info
Sebastian Korda,Age,22 (05-07-2000)
Sebastian Korda,Country,United States
Sebastian Korda,Height,196 cm
Sebastian Korda,Plays,Right-handed
Sebastian Korda,Backhand,Two-handed
Sebastian Korda,Favorite Surface,All-Rounder 8%
Sebastian Korda,Turned Pro,2018
Sebastian Korda,Seasons,5
Sebastian Korda,Active,Yes
Sebastian Korda,Prize Money,"$2,070,474"
Sebastian Korda,Wikipedia,Wikipedia
Sebastian Korda,Titles,1
Sebastian Korda,Current Rank,26 (1550)
Sebastian Korda,Best Rank,26 (30-01-2023)
Sebastian Korda,Current Elo Rank,18 (2071)
Sebastian Korda,Best Elo Rank,15 (20-02-2023)
Sebastian Korda,Peak Elo Rating,2071 (30-01-2023)
Sebastian Korda,GOAT Rank,473 (2)
Sebastian Korda,Best Season,2021
Sebastian Korda,Last Appearance,16-01-2023
Sebastian Korda,Overall,61.2% (71-45)
Sebastian Korda,Hard,61.5% (48-30)
Sebastian Korda,Clay,60.7% (17-11)
Sebastian Korda,Grass,60.0% (6-4)
Sebastian Korda,H2H,"6
1
5"
Sebastian Korda,H2H %,54.2%
Sebastian Korda,Ace %,7.3%
Sebastian Korda,Double Fault %,3.1%
Sebastian Korda,1st Serve %,64.1%
Sebastian Korda,1st Serve Won %,70.5%
Sebastian Korda,2nd Serve Won %,50.5%
Sebastian Korda,Break Points Saved %,63.6%
Sebastian Korda,Service Points Won %,63.4%
Sebastian Korda,Service Games Won %,79.9%
Sebastian Korda,Ace Against %,5.1%
Sebastian Korda,Double Fault Against %,3.5%
Sebastian Korda,1st Srv. Return Won %,31.4%
Sebastian Korda,2nd Srv. Return Won %,50.8%
Sebastian Korda,Break Points Won %,41.6%
Sebastian Korda,Return Points Won %,38.7%
Sebastian Korda,Return Games Won %,25.5%
Sebastian Korda,Points Dominance,1.06
Sebastian Korda,Games Dominance,1.27
Sebastian Korda,Break Points Ratio,1.14
Sebastian Korda,Total Points Won %,51.1%
Sebastian Korda,Games Won %,52.9%
Sebastian Korda,Sets Won %,59.5%
Sebastian Korda,Matches Won %,61.2%
Sebastian Korda,Match Time,1:55
