Name,Category,Info
Filip Krajinovic,Age,31 (27-02-1992)
Filip Krajinovic,Country,Serbia
Filip Krajinovic,Height,185 cm
Filip Krajinovic,Plays,Right-handed
Filip Krajinovic,Backhand,Two-handed
Filip Krajinovic,Favorite Surface,Grass 15%
Filip Krajinovic,Turned Pro,2008
Filip Krajinovic,Seasons,14
Filip Krajinovic,Active,Yes
Filip Krajinovic,Prize Money,"US$ 5,207,059"
Filip Krajinovic,Wikipedia,Wikipedia
Filip Krajinovic,Current Rank,74 (730)
Filip Krajinovic,Best Rank,26 (23-04-2018)
Filip Krajinovic,Current Elo Rank,52 (1902)
Filip Krajinovic,Best Elo Rank,25 (31-08-2020)
Filip Krajinovic,Peak Elo Rating,2033 (21-09-2020)
Filip Krajinovic,GOAT Rank,373 (4)
Filip Krajinovic,Best Season,2017
Filip Krajinovic,Last Appearance,27-02-2023
Filip Krajinovic,Overall,49.8% (123-124)
Filip Krajinovic,Hard,50.0% (82-82)
Filip Krajinovic,Clay,49.3% (35-36)
Filip Krajinovic,Grass,45.5% (5-6)
Filip Krajinovic,H2H,"9
3
11"
Filip Krajinovic,H2H %,45.7%
Filip Krajinovic,Ace %,5.8%
Filip Krajinovic,Double Fault %,2.5%
Filip Krajinovic,1st Serve %,63.9%
Filip Krajinovic,1st Serve Won %,68.6%
Filip Krajinovic,2nd Serve Won %,51.0%
Filip Krajinovic,Break Points Saved %,60.6%
Filip Krajinovic,Service Points Won %,62.2%
Filip Krajinovic,Service Games Won %,76.6%
Filip Krajinovic,Ace Against %,10.5%
Filip Krajinovic,Double Fault Against %,3.8%
Filip Krajinovic,1st Srv. Return Won %,28.5%
Filip Krajinovic,2nd Srv. Return Won %,51.2%
Filip Krajinovic,Break Points Won %,41.3%
Filip Krajinovic,Return Points Won %,37.5%
Filip Krajinovic,Return Games Won %,23.4%
Filip Krajinovic,Points Dominance,0.99
Filip Krajinovic,Games Dominance,1.00
Filip Krajinovic,Break Points Ratio,1.05
Filip Krajinovic,Total Points Won %,49.9%
Filip Krajinovic,Games Won %,49.9%
Filip Krajinovic,Sets Won %,48.9%
Filip Krajinovic,Matches Won %,49.8%
Filip Krajinovic,Match Time,1:44
