Name,Category,Info
Jason Kubler,Age,29 (19-05-1993)
Jason Kubler,Country,Australia
Jason Kubler,Height,178 cm
Jason Kubler,Plays,Right-handed
Jason Kubler,Backhand,Two-handed
Jason Kubler,Favorite Surface,Grass 41%
Jason Kubler,Turned Pro,2010
Jason Kubler,Seasons,7
Jason Kubler,Active,Yes
Jason Kubler,Prize Money,"$685,676"
Jason Kubler,Wikipedia,Wikipedia
Jason Kubler,Current Rank,75 (710)
Jason Kubler,Best Rank,71 (27-02-2023)
Jason Kubler,Current Elo Rank,73 (1856)
Jason Kubler,Best Elo Rank,73 (27-02-2023)
Jason Kubler,Peak Elo Rating,1856 (27-02-2023)
Jason Kubler,Last Appearance,48.7% (19-20)
Jason Kubler,Overall,42.3% (11-15)
Jason Kubler,Hard,50.0% (2-2)
Jason Kubler,Clay,66.7% (6-3)
Jason Kubler,Grass,20-02-2023
Jason Kubler,Ace %,7.0%
Jason Kubler,Double Fault %,4.8%
Jason Kubler,1st Serve %,62.2%
Jason Kubler,1st Serve Won %,70.3%
Jason Kubler,2nd Serve Won %,49.6%
Jason Kubler,Break Points Saved %,59.8%
Jason Kubler,Service Points Won %,62.5%
Jason Kubler,Service Games Won %,78.5%
Jason Kubler,Ace Against %,8.7%
Jason Kubler,Double Fault Against %,3.5%
Jason Kubler,1st Srv. Return Won %,28.2%
Jason Kubler,2nd Srv. Return Won %,47.6%
Jason Kubler,Break Points Won %,42.9%
Jason Kubler,Return Points Won %,35.6%
Jason Kubler,Return Games Won %,21.3%
Jason Kubler,Points Dominance,0.95
Jason Kubler,Games Dominance,0.99
Jason Kubler,Break Points Ratio,1.07
Jason Kubler,Total Points Won %,49.3%
Jason Kubler,Games Won %,49.5%
Jason Kubler,Sets Won %,49.5%
Jason Kubler,Matches Won %,48.7%
Jason Kubler,Match Time,2:17
