Name,Category,Info
Denis Kudla,Age,30 (17-08-1992)
Denis Kudla,Country,United States
Denis Kudla,Height,180 cm
Denis Kudla,Plays,Right-handed
Denis Kudla,Backhand,Two-handed
Denis Kudla,Favorite Surface,Grass 43%
Denis Kudla,Turned Pro,2010
Denis Kudla,Seasons,14
Denis Kudla,Active,Yes
Denis Kudla,Prize Money,"US$3,185,747"
Denis Kudla,Wikipedia,Wikipedia
Denis Kudla,Current Rank,90 (608)
Denis Kudla,Best Rank,53 (23-05-2016)
Denis Kudla,Current Elo Rank,139 (1761)
Denis Kudla,Best Elo Rank,80 (22-08-2021)
Denis Kudla,Peak Elo Rating,1855 (10-09-2018)
Denis Kudla,Last Appearance,13-02-2023
Denis Kudla,Overall,35.2% (69-127)
Denis Kudla,Hard,30.9% (38-85)
Denis Kudla,Clay,23.8% (5-16)
Denis Kudla,Grass,50.0% (26-26)
Denis Kudla,H2H,"6
2
7"
Denis Kudla,H2H %,46.7%
Denis Kudla,Ace %,7.0%
Denis Kudla,Double Fault %,4.1%
Denis Kudla,1st Serve %,58.2%
Denis Kudla,1st Serve Won %,69.6%
Denis Kudla,2nd Serve Won %,50.7%
Denis Kudla,Break Points Saved %,57.7%
Denis Kudla,Service Points Won %,61.7%
Denis Kudla,Service Games Won %,75.3%
Denis Kudla,Ace Against %,11.7%
Denis Kudla,Double Fault Against %,4.1%
Denis Kudla,1st Srv. Return Won %,26.0%
Denis Kudla,2nd Srv. Return Won %,48.5%
Denis Kudla,Break Points Won %,39.8%
Denis Kudla,Return Points Won %,34.8%
Denis Kudla,Return Games Won %,18.3%
Denis Kudla,Points Dominance,0.91
Denis Kudla,Games Dominance,0.74
Denis Kudla,Break Points Ratio,0.94
Denis Kudla,Total Points Won %,48.4%
Denis Kudla,Games Won %,46.7%
Denis Kudla,Sets Won %,38.0%
Denis Kudla,Matches Won %,35.2%
Denis Kudla,Match Time,1:40
