Name,Category,Info
Soon Woo Kwon,Age,25 (02-12-1997)
Soon Woo Kwon,Country,"Korea, Republic of"
Soon Woo Kwon,Height,180 cm
Soon Woo Kwon,Plays,Right-handed
Soon Woo Kwon,Backhand,Two-handed
Soon Woo Kwon,Favorite Surface,Hard 27%
Soon Woo Kwon,Turned Pro,2015
Soon Woo Kwon,Seasons,7
Soon Woo Kwon,Active,Yes
Soon Woo Kwon,Prize Money,"US$ 1,715,190"
Soon Woo Kwon,Wikipedia,Wikipedia
Soon Woo Kwon,Titles,2
Soon Woo Kwon,Current Rank,70 (739)
Soon Woo Kwon,Best Rank,52 (01-11-2021)
Soon Woo Kwon,Current Elo Rank,55 (1898)
Soon Woo Kwon,Best Elo Rank,47 (16-01-2023)
Soon Woo Kwon,Peak Elo Rating,1929 (16-01-2023)
Soon Woo Kwon,GOAT Rank,433 (2)
Soon Woo Kwon,Best Season,2023
Soon Woo Kwon,Last Appearance,20-02-2023
Soon Woo Kwon,Overall,48.3% (56-60)
Soon Woo Kwon,Hard,51.1% (45-43)
Soon Woo Kwon,Clay,44.4% (8-10)
Soon Woo Kwon,Grass,33.3% (3-6)
Soon Woo Kwon,H2H,"2
1
3"
Soon Woo Kwon,H2H %,41.7%
Soon Woo Kwon,Ace %,6.0%
Soon Woo Kwon,Double Fault %,3.8%
Soon Woo Kwon,1st Serve %,60.3%
Soon Woo Kwon,1st Serve Won %,70.2%
Soon Woo Kwon,2nd Serve Won %,50.9%
Soon Woo Kwon,Break Points Saved %,59.5%
Soon Woo Kwon,Service Points Won %,62.5%
Soon Woo Kwon,Service Games Won %,77.4%
Soon Woo Kwon,Ace Against %,11.5%
Soon Woo Kwon,Double Fault Against %,3.6%
Soon Woo Kwon,1st Srv. Return Won %,27.7%
Soon Woo Kwon,2nd Srv. Return Won %,51.0%
Soon Woo Kwon,Break Points Won %,37.5%
Soon Woo Kwon,Return Points Won %,36.7%
Soon Woo Kwon,Return Games Won %,21.2%
Soon Woo Kwon,Points Dominance,0.98
Soon Woo Kwon,Games Dominance,0.94
Soon Woo Kwon,Break Points Ratio,0.93
Soon Woo Kwon,Total Points Won %,49.5%
Soon Woo Kwon,Games Won %,49.1%
Soon Woo Kwon,Sets Won %,47.3%
Soon Woo Kwon,Matches Won %,48.3%
Soon Woo Kwon,Match Time,2:05
