Name,Category,Info
Nick Kyrgios,Age,27 (27-04-1995)
Nick Kyrgios,Country,Australia
Nick Kyrgios,Birthplace,"Canberra, Australia"
Nick Kyrgios,Residence,"Canberra, AUS / Nassau, BAH"
Nick Kyrgios,Height,193 cm
Nick Kyrgios,Weight,85 kg
Nick Kyrgios,Plays,Right-handed
Nick Kyrgios,Backhand,Two-handed
Nick Kyrgios,Favorite Surface,"Fast (H, G) 19%"
Nick Kyrgios,Coach,Sebastien Grosjean
Nick Kyrgios,Turned Pro,2013
Nick Kyrgios,Seasons,10
Nick Kyrgios,Active,Yes
Nick Kyrgios,Prize Money,"US$9,538,282"
Nick Kyrgios,Wikipedia,Wikipedia
Nick Kyrgios,Website,nickkyrgios.org
Nick Kyrgios,Facebook,nkyrgios
Nick Kyrgios,Twitter,@NickKyrgios
Nick Kyrgios,Nicknames,Wild Thing
Nick Kyrgios,Titles,7
Nick Kyrgios,Current Rank,22 (1825)
Nick Kyrgios,Best Rank,13 (24-10-2016)
Nick Kyrgios,Current Elo Rank,7 (2157)
Nick Kyrgios,Best Elo Rank,6 (15-08-2022)
Nick Kyrgios,Peak Elo Rating,2176 (15-05-2017)
Nick Kyrgios,GOAT Rank,135 (24)
Nick Kyrgios,Best Season,2022
Nick Kyrgios,Last Appearance,03-10-2022
Nick Kyrgios,Overall,65.2% (204-109)
Nick Kyrgios,Hard,67.1% (141-69)
Nick Kyrgios,Clay,57.4% (27-20)
Nick Kyrgios,Grass,66.7% (36-18)
Nick Kyrgios,H2H,"20
1
14"
Nick Kyrgios,H2H %,58.6%
Nick Kyrgios,Ace %,18.2%
Nick Kyrgios,Double Fault %,4.1%
Nick Kyrgios,1st Serve %,65.9%
Nick Kyrgios,1st Serve Won %,77.6%
Nick Kyrgios,2nd Serve Won %,53.4%
Nick Kyrgios,Break Points Saved %,67.3%
Nick Kyrgios,Service Points Won %,69.4%
Nick Kyrgios,Service Games Won %,88.8%
Nick Kyrgios,Ace Against %,11.1%
Nick Kyrgios,Double Fault Against %,3.9%
Nick Kyrgios,1st Srv. Return Won %,24.4%
Nick Kyrgios,2nd Srv. Return Won %,47.2%
Nick Kyrgios,Break Points Won %,39.0%
Nick Kyrgios,Return Points Won %,33.1%
Nick Kyrgios,Return Games Won %,16.5%
Nick Kyrgios,Points Dominance,1.08
Nick Kyrgios,Games Dominance,1.47
Nick Kyrgios,Break Points Ratio,1.19
Nick Kyrgios,Total Points Won %,51.2%
Nick Kyrgios,Games Won %,52.7%
Nick Kyrgios,Sets Won %,61.8%
Nick Kyrgios,Matches Won %,65.2%
Nick Kyrgios,Match Time,1:38
