Name,Category,Info
Dusan Lajovic,Age,32 (30-06-1990)
Dusan Lajovic,Country,Serbia
Dusan Lajovic,Height,180 cm
Dusan Lajovic,Plays,Right-handed
Dusan Lajovic,Backhand,One-handed
Dusan Lajovic,Favorite Surface,Clay 41%
Dusan Lajovic,Turned Pro,2007
Dusan Lajovic,Seasons,14
Dusan Lajovic,Active,Yes
Dusan Lajovic,Prize Money,"US$ 7,502,883"
Dusan Lajovic,Wikipedia,Wikipedia
Dusan Lajovic,Titles,1
Dusan Lajovic,Team Cups,1
Dusan Lajovic,Current Rank,71 (738)
Dusan Lajovic,Best Rank,23 (29-04-2019)
Dusan Lajovic,Current Elo Rank,80 (1838)
Dusan Lajovic,Best Elo Rank,35 (22-04-2019)
Dusan Lajovic,Peak Elo Rating,1962 (22-04-2019)
Dusan Lajovic,GOAT Rank,412 (3)
Dusan Lajovic,Best Season,2019
Dusan Lajovic,Last Appearance,27-02-2023
Dusan Lajovic,Overall,43.4% (170-222)
Dusan Lajovic,Hard,39.0% (69-108)
Dusan Lajovic,Clay,49.2% (94-97)
Dusan Lajovic,Grass,27.3% (6-16)
Dusan Lajovic,H2H,"15
5
31"
Dusan Lajovic,H2H %,34.3%
Dusan Lajovic,Ace %,4.6%
Dusan Lajovic,Double Fault %,2.3%
Dusan Lajovic,1st Serve %,66.3%
Dusan Lajovic,1st Serve Won %,67.6%
Dusan Lajovic,2nd Serve Won %,51.9%
Dusan Lajovic,Break Points Saved %,59.8%
Dusan Lajovic,Service Points Won %,62.3%
Dusan Lajovic,Service Games Won %,76.9%
Dusan Lajovic,Ace Against %,6.7%
Dusan Lajovic,Double Fault Against %,3.6%
Dusan Lajovic,1st Srv. Return Won %,28.4%
Dusan Lajovic,2nd Srv. Return Won %,48.8%
Dusan Lajovic,Break Points Won %,39.1%
Dusan Lajovic,Return Points Won %,36.2%
Dusan Lajovic,Return Games Won %,20.9%
Dusan Lajovic,Points Dominance,0.96
Dusan Lajovic,Games Dominance,0.90
Dusan Lajovic,Break Points Ratio,0.97
Dusan Lajovic,Total Points Won %,49.4%
Dusan Lajovic,Games Won %,48.8%
Dusan Lajovic,Sets Won %,45.4%
Dusan Lajovic,Matches Won %,43.4%
Dusan Lajovic,Match Time,1:46
