Name,Category,Info
Jiri Lehecka,Age,21 (08-11-2001)
Jiri Lehecka,Country,Czech Republic
Jiri Lehecka,Height,185 cm
Jiri Lehecka,Plays,Right-handed
Jiri Lehecka,Favorite Surface,Hard 26%
Jiri Lehecka,Seasons,4
Jiri Lehecka,Active,Yes
Jiri Lehecka,Prize Money,"$347,854"
Jiri Lehecka,Wikipedia,Wikipedia
Jiri Lehecka,Current Rank,47 (932)
Jiri Lehecka,Best Rank,37 (06-02-2023)
Jiri Lehecka,Current Elo Rank,53 (1901)
Jiri Lehecka,Best Elo Rank,52 (27-02-2023)
Jiri Lehecka,Peak Elo Rating,1904 (27-02-2023)
Jiri Lehecka,GOAT Rank,630 (1)
Jiri Lehecka,Best Season,2023
Jiri Lehecka,Last Appearance,27-02-2023
Jiri Lehecka,Overall,42.5% (17-23)
Jiri Lehecka,Hard,48.1% (13-14)
Jiri Lehecka,Clay,36.4% (4-7)
Jiri Lehecka,Grass,0.0% (0-2)
Jiri Lehecka,H2H,"0
0
2"
Jiri Lehecka,H2H %,0.0%
Jiri Lehecka,Ace %,6.5%
Jiri Lehecka,Double Fault %,3.3%
Jiri Lehecka,1st Serve %,63.5%
Jiri Lehecka,1st Serve Won %,68.0%
Jiri Lehecka,2nd Serve Won %,51.7%
Jiri Lehecka,Break Points Saved %,61.0%
Jiri Lehecka,Service Points Won %,62.0%
Jiri Lehecka,Service Games Won %,76.3%
Jiri Lehecka,Ace Against %,6.1%
Jiri Lehecka,Double Fault Against %,3.4%
Jiri Lehecka,1st Srv. Return Won %,27.8%
Jiri Lehecka,2nd Srv. Return Won %,45.6%
Jiri Lehecka,Break Points Won %,39.3%
Jiri Lehecka,Return Points Won %,34.7%
Jiri Lehecka,Return Games Won %,17.9%
Jiri Lehecka,Points Dominance,0.91
Jiri Lehecka,Games Dominance,0.76
Jiri Lehecka,Break Points Ratio,1.01
Jiri Lehecka,Total Points Won %,48.7%
Jiri Lehecka,Games Won %,48.3%
Jiri Lehecka,Sets Won %,45.9%
Jiri Lehecka,Matches Won %,42.5%
Jiri Lehecka,Match Time,1:51
