Name,Category,Info
Constant Lestienne,Age,30 (23-05-1992)
Constant Lestienne,Country,France
Constant Lestienne,Height,180 cm
Constant Lestienne,Plays,Right-handed
Constant Lestienne,Backhand,Two-handed
Constant Lestienne,Favorite Surface,Hard 100%
Constant Lestienne,Turned Pro,2012
Constant Lestienne,Seasons,6
Constant Lestienne,Active,Yes
Constant Lestienne,Prize Money,"$606,598"
Constant Lestienne,Wikipedia,Wikipedia
Constant Lestienne,Current Rank,62 (821)
Constant Lestienne,Best Rank,48 (06-02-2023)
Constant Lestienne,Current Elo Rank,110 (1796)
Constant Lestienne,Best Elo Rank,85 (30-01-2023)
Constant Lestienne,Peak Elo Rating,1833 (30-01-2023)
Constant Lestienne,Last Appearance,42.9% (12-16)
Constant Lestienne,Overall,46.2% (12-14)
Constant Lestienne,Hard,0.0% (0-2)
Constant Lestienne,Clay,27-02-2023
Constant Lestienne,Ace %,5.6%
Constant Lestienne,Double Fault %,4.0%
Constant Lestienne,1st Serve %,62.0%
Constant Lestienne,1st Serve Won %,67.7%
Constant Lestienne,2nd Serve Won %,45.5%
Constant Lestienne,Break Points Saved %,55.4%
Constant Lestienne,Service Points Won %,59.3%
Constant Lestienne,Service Games Won %,69.8%
Constant Lestienne,Ace Against %,9.8%
Constant Lestienne,Double Fault Against %,3.2%
Constant Lestienne,1st Srv. Return Won %,28.5%
Constant Lestienne,2nd Srv. Return Won %,49.6%
Constant Lestienne,Break Points Won %,39.1%
Constant Lestienne,Return Points Won %,36.3%
Constant Lestienne,Return Games Won %,20.4%
Constant Lestienne,Points Dominance,0.89
Constant Lestienne,Games Dominance,0.68
Constant Lestienne,Break Points Ratio,0.88
Constant Lestienne,Total Points Won %,48.2%
Constant Lestienne,Games Won %,46.3%
Constant Lestienne,Sets Won %,43.9%
Constant Lestienne,Matches Won %,42.9%
Constant Lestienne,Match Time,1:40
