Name,Category,Info
Adrian Mannarino,Age,34 (29-06-1988)
Adrian Mannarino,Country,France
Adrian Mannarino,Height,183 cm
Adrian Mannarino,Plays,Left-handed
Adrian Mannarino,Backhand,Two-handed
Adrian Mannarino,Favorite Surface,Grass 53%
Adrian Mannarino,Turned Pro,2004
Adrian Mannarino,Seasons,16
Adrian Mannarino,Active,Yes
Adrian Mannarino,Prize Money,"US$8,880,161"
Adrian Mannarino,Wikipedia,Wikipedia
Adrian Mannarino,Website,adrianmannarino.fr
Adrian Mannarino,Titles,2
Adrian Mannarino,Current Rank,68 (791)
Adrian Mannarino,Best Rank,22 (19-03-2018)
Adrian Mannarino,Current Elo Rank,60 (1888)
Adrian Mannarino,Best Elo Rank,29 (15-01-2018)
Adrian Mannarino,Peak Elo Rating,2004 (29-01-2018)
Adrian Mannarino,GOAT Rank,388 (3)
Adrian Mannarino,Best Season,2019
Adrian Mannarino,Last Appearance,27-02-2023
Adrian Mannarino,Overall,46.0% (250-294)
Adrian Mannarino,Hard,47.1% (178-200)
Adrian Mannarino,Clay,22.4% (15-52)
Adrian Mannarino,Grass,57.6% (57-42)
Adrian Mannarino,H2H,"25
3
46"
Adrian Mannarino,H2H %,35.8%
Adrian Mannarino,Ace %,6.1%
Adrian Mannarino,Double Fault %,3.3%
Adrian Mannarino,1st Serve %,60.4%
Adrian Mannarino,1st Serve Won %,69.6%
Adrian Mannarino,2nd Serve Won %,50.8%
Adrian Mannarino,Break Points Saved %,59.3%
Adrian Mannarino,Service Points Won %,62.1%
Adrian Mannarino,Service Games Won %,76.2%
Adrian Mannarino,Ace Against %,9.2%
Adrian Mannarino,Double Fault Against %,3.8%
Adrian Mannarino,1st Srv. Return Won %,28.3%
Adrian Mannarino,2nd Srv. Return Won %,49.8%
Adrian Mannarino,Break Points Won %,40.9%
Adrian Mannarino,Return Points Won %,36.8%
Adrian Mannarino,Return Games Won %,21.7%
Adrian Mannarino,Points Dominance,0.97
Adrian Mannarino,Games Dominance,0.91
Adrian Mannarino,Break Points Ratio,1.00
Adrian Mannarino,Total Points Won %,49.5%
Adrian Mannarino,Games Won %,48.9%
Adrian Mannarino,Sets Won %,46.2%
Adrian Mannarino,Matches Won %,46.0%
Adrian Mannarino,Match Time,1:41
