Name,Category,Info
Mackenzie Mcdonald,Age,27 (16-04-1995)
Mackenzie Mcdonald,Country,United States
Mackenzie Mcdonald,Height,178 cm
Mackenzie Mcdonald,Plays,Right-handed
Mackenzie Mcdonald,Backhand,Two-handed
Mackenzie Mcdonald,Favorite Surface,"Fast (H, G) 22%"
Mackenzie Mcdonald,Turned Pro,2016
Mackenzie Mcdonald,Seasons,8
Mackenzie Mcdonald,Active,Yes
Mackenzie Mcdonald,Prize Money,"US$2,708,470"
Mackenzie Mcdonald,Wikipedia,Wikipedia
Mackenzie Mcdonald,Current Rank,53 (865)
Mackenzie Mcdonald,Best Rank,48 (01-08-2022)
Mackenzie Mcdonald,Current Elo Rank,38 (1937)
Mackenzie Mcdonald,Best Elo Rank,38 (06-03-2023)
Mackenzie Mcdonald,Peak Elo Rating,1937 (06-03-2023)
Mackenzie Mcdonald,GOAT Rank,630 (1)
Mackenzie Mcdonald,Best Season,2021
Mackenzie Mcdonald,Last Appearance,27-02-2023
Mackenzie Mcdonald,Overall,46.1% (77-90)
Mackenzie Mcdonald,Hard,46.9% (61-69)
Mackenzie Mcdonald,Clay,38.1% (8-13)
Mackenzie Mcdonald,Grass,50.0% (8-8)
Mackenzie Mcdonald,H2H,"3
0
11"
Mackenzie Mcdonald,H2H %,21.4%
Mackenzie Mcdonald,Ace %,6.3%
Mackenzie Mcdonald,Double Fault %,3.0%
Mackenzie Mcdonald,1st Serve %,64.2%
Mackenzie Mcdonald,1st Serve Won %,68.9%
Mackenzie Mcdonald,2nd Serve Won %,50.6%
Mackenzie Mcdonald,Break Points Saved %,60.5%
Mackenzie Mcdonald,Service Points Won %,62.4%
Mackenzie Mcdonald,Service Games Won %,77.2%
Mackenzie Mcdonald,Ace Against %,7.8%
Mackenzie Mcdonald,Double Fault Against %,3.8%
Mackenzie Mcdonald,1st Srv. Return Won %,28.7%
Mackenzie Mcdonald,2nd Srv. Return Won %,50.5%
Mackenzie Mcdonald,Break Points Won %,39.8%
Mackenzie Mcdonald,Return Points Won %,37.0%
Mackenzie Mcdonald,Return Games Won %,21.6%
Mackenzie Mcdonald,Points Dominance,0.98
Mackenzie Mcdonald,Games Dominance,0.95
Mackenzie Mcdonald,Break Points Ratio,1.01
Mackenzie Mcdonald,Total Points Won %,49.7%
Mackenzie Mcdonald,Games Won %,49.2%
Mackenzie Mcdonald,Sets Won %,48.9%
Mackenzie Mcdonald,Matches Won %,46.1%
Mackenzie Mcdonald,Match Time,1:53
