Name,Category,Info
Daniil Medvedev,Age,27 (11-02-1996)
Daniil Medvedev,Country,Russian Federation
Daniil Medvedev,Birthplace,"Moscow, Russia"
Daniil Medvedev,Residence,"Monte Carlo, Monaco"
Daniil Medvedev,Height,198 cm
Daniil Medvedev,Weight,83 kg
Daniil Medvedev,Plays,Right-handed
Daniil Medvedev,Backhand,Two-handed
Daniil Medvedev,Favorite Surface,Hard 49%
Daniil Medvedev,Coach,Gilles Cervara
Daniil Medvedev,Turned Pro,2014
Daniil Medvedev,Seasons,8
Daniil Medvedev,Active,Yes
Daniil Medvedev,Prize Money,"US$23,595,082 17th all-time leader in earnings"
Daniil Medvedev,Wikipedia,Wikipedia
Daniil Medvedev,Twitter,@DaniilMedwed
Daniil Medvedev,Nicknames,Bear
Daniil Medvedev,Titles,18
Daniil Medvedev,Grand Slams,1
Daniil Medvedev,Tour Finals,1
Daniil Medvedev,Masters,4
Daniil Medvedev,Davis Cups,1
Daniil Medvedev,Team Cups,1
Daniil Medvedev,Current Rank,6 (3775)
Daniil Medvedev,Best Rank,1 (28-02-2022)
Daniil Medvedev,Current Elo Rank,3 (2255)
Daniil Medvedev,Best Elo Rank,3 (13-09-2021)
Daniil Medvedev,Peak Elo Rating,2316 (31-01-2022)
Daniil Medvedev,GOAT Rank,34 (108)
Daniil Medvedev,Weeks at No. 1,16
Daniil Medvedev,Best Season,2021
Daniil Medvedev,Last Appearance,27-02-2023
Daniil Medvedev,Overall,70.7% (282-117)
Daniil Medvedev,Hard,75.0% (231-77)
Daniil Medvedev,Clay,43.9% (18-23)
Daniil Medvedev,Grass,66.0% (33-17)
Daniil Medvedev,H2H,"40
6
12"
Daniil Medvedev,H2H %,74.1%
Daniil Medvedev,Ace %,11.0%
Daniil Medvedev,Double Fault %,4.5%
Daniil Medvedev,1st Serve %,60.9%
Daniil Medvedev,1st Serve Won %,75.5%
Daniil Medvedev,2nd Serve Won %,52.0%
Daniil Medvedev,Break Points Saved %,63.4%
Daniil Medvedev,Service Points Won %,66.3%
Daniil Medvedev,Service Games Won %,83.8%
Daniil Medvedev,Ace Against %,5.4%
Daniil Medvedev,Double Fault Against %,3.5%
Daniil Medvedev,1st Srv. Return Won %,31.0%
Daniil Medvedev,2nd Srv. Return Won %,53.8%
Daniil Medvedev,Break Points Won %,42.8%
Daniil Medvedev,Return Points Won %,39.6%
Daniil Medvedev,Return Games Won %,27.2%
Daniil Medvedev,Points Dominance,1.18
Daniil Medvedev,Games Dominance,1.68
Daniil Medvedev,Break Points Ratio,1.17
Daniil Medvedev,Total Points Won %,52.7%
Daniil Medvedev,Games Won %,55.6%
Daniil Medvedev,Sets Won %,66.9%
Daniil Medvedev,Matches Won %,70.7%
Daniil Medvedev,Match Time,1:44
