Name,Category,Info
Alex De Minaur,Age,24 (17-02-1999)
Alex De Minaur,Country,Australia
Alex De Minaur,Height,183 cm
Alex De Minaur,Plays,Right-handed
Alex De Minaur,Backhand,Two-handed
Alex De Minaur,Favorite Surface,"Fast (H, G) 34%"
Alex De Minaur,Turned Pro,2015
Alex De Minaur,Seasons,7
Alex De Minaur,Active,Yes
Alex De Minaur,Prize Money,"US$6,834,777"
Alex De Minaur,Wikipedia,Wikipedia
Alex De Minaur,Titles,7
Alex De Minaur,Current Rank,18 (2165)
Alex De Minaur,Best Rank,15 (28-06-2021)
Alex De Minaur,Current Elo Rank,15 (2083)
Alex De Minaur,Best Elo Rank,15 (06-03-2023)
Alex De Minaur,Peak Elo Rating,2083 (06-03-2023)
Alex De Minaur,GOAT Rank,212 (11)
Alex De Minaur,Best Season,2019
Alex De Minaur,Last Appearance,27-02-2023
Alex De Minaur,Overall,58.8% (157-110)
Alex De Minaur,Hard,62.1% (123-75)
Alex De Minaur,Clay,40.5% (15-22)
Alex De Minaur,Grass,59.4% (19-13)
Alex De Minaur,H2H,"19
4
10"
Alex De Minaur,H2H %,63.6%
Alex De Minaur,Ace %,4.5%
Alex De Minaur,Double Fault %,3.2%
Alex De Minaur,1st Serve %,60.2%
Alex De Minaur,1st Serve Won %,70.1%
Alex De Minaur,2nd Serve Won %,52.8%
Alex De Minaur,Break Points Saved %,61.5%
Alex De Minaur,Service Points Won %,63.2%
Alex De Minaur,Service Games Won %,78.8%
Alex De Minaur,Ace Against %,6.9%
Alex De Minaur,Double Fault Against %,3.7%
Alex De Minaur,1st Srv. Return Won %,30.9%
Alex De Minaur,2nd Srv. Return Won %,51.5%
Alex De Minaur,Break Points Won %,41.9%
Alex De Minaur,Return Points Won %,38.9%
Alex De Minaur,Return Games Won %,25.0%
Alex De Minaur,Points Dominance,1.06
Alex De Minaur,Games Dominance,1.18
Alex De Minaur,Break Points Ratio,1.09
Alex De Minaur,Total Points Won %,51.0%
Alex De Minaur,Games Won %,51.8%
Alex De Minaur,Sets Won %,56.3%
Alex De Minaur,Matches Won %,58.8%
Alex De Minaur,Match Time,1:56
