Name,Category,Info
Bernabe Zapata Miralles,Age,26 (12-01-1997)
Bernabe Zapata Miralles,Country,Spain
Bernabe Zapata Miralles,Height,185 cm
Bernabe Zapata Miralles,Plays,Right-handed
Bernabe Zapata Miralles,Backhand,Two-handed
Bernabe Zapata Miralles,Favorite Surface,Clay 38%
Bernabe Zapata Miralles,Turned Pro,2015
Bernabe Zapata Miralles,Seasons,5
Bernabe Zapata Miralles,Active,Yes
Bernabe Zapata Miralles,Prize Money,"US$760,023"
Bernabe Zapata Miralles,Wikipedia,Wikipedia
Bernabe Zapata Miralles,Current Rank,42 (959)
Bernabe Zapata Miralles,Best Rank,42 (27-02-2023)
Bernabe Zapata Miralles,Current Elo Rank,76 (1850)
Bernabe Zapata Miralles,Best Elo Rank,75 (27-02-2023)
Bernabe Zapata Miralles,Peak Elo Rating,1850 (27-02-2023)
Bernabe Zapata Miralles,Last Appearance,20-02-2023
Bernabe Zapata Miralles,Overall,40.4% (23-34)
Bernabe Zapata Miralles,Hard,27.8% (5-13)
Bernabe Zapata Miralles,Clay,50.0% (18-18)
Bernabe Zapata Miralles,Grass,0.0% (0-3)
Bernabe Zapata Miralles,H2H,"0
0
1"
Bernabe Zapata Miralles,H2H %,0.0%
Bernabe Zapata Miralles,Ace %,2.9%
Bernabe Zapata Miralles,Double Fault %,2.7%
Bernabe Zapata Miralles,1st Serve %,64.0%
Bernabe Zapata Miralles,1st Serve Won %,62.5%
Bernabe Zapata Miralles,2nd Serve Won %,49.1%
Bernabe Zapata Miralles,Break Points Saved %,54.5%
Bernabe Zapata Miralles,Service Points Won %,57.7%
Bernabe Zapata Miralles,Service Games Won %,66.3%
Bernabe Zapata Miralles,Ace Against %,6.3%
Bernabe Zapata Miralles,Double Fault Against %,3.7%
Bernabe Zapata Miralles,1st Srv. Return Won %,32.3%
Bernabe Zapata Miralles,2nd Srv. Return Won %,51.3%
Bernabe Zapata Miralles,Break Points Won %,46.1%
Bernabe Zapata Miralles,Return Points Won %,39.1%
Bernabe Zapata Miralles,Return Games Won %,28.2%
Bernabe Zapata Miralles,Points Dominance,0.92
Bernabe Zapata Miralles,Games Dominance,0.84
Bernabe Zapata Miralles,Break Points Ratio,1.01
Bernabe Zapata Miralles,Total Points Won %,48.5%
Bernabe Zapata Miralles,Games Won %,47.6%
Bernabe Zapata Miralles,Sets Won %,40.5%
Bernabe Zapata Miralles,Matches Won %,40.4%
Bernabe Zapata Miralles,Match Time,1:52
