Name,Category,Info
Michael Mmoh,Age,25 (10-01-1998)
Michael Mmoh,Country,United States
Michael Mmoh,Height,188 cm
Michael Mmoh,Plays,Right-handed
Michael Mmoh,Backhand,Two-handed
Michael Mmoh,Favorite Surface,Hard 100%
Michael Mmoh,Turned Pro,2016
Michael Mmoh,Seasons,8
Michael Mmoh,Active,Yes
Michael Mmoh,Prize Money,"US$1,229,762"
Michael Mmoh,Wikipedia,Wikipedia
Michael Mmoh,Current Rank,83 (653)
Michael Mmoh,Best Rank,82 (20-02-2023)
Michael Mmoh,Current Elo Rank,117 (1793)
Michael Mmoh,Best Elo Rank,117 (06-03-2023)
Michael Mmoh,Peak Elo Rating,1793 (06-03-2023)
Michael Mmoh,Last Appearance,35.4% (17-31)
Michael Mmoh,Overall,38.1% (16-26)
Michael Mmoh,Hard,25.0% (1-3)
Michael Mmoh,Clay,0.0% (0-2)
Michael Mmoh,Grass,27-02-2023
Michael Mmoh,Ace %,5.7%
Michael Mmoh,Double Fault %,4.7%
Michael Mmoh,1st Serve %,66.4%
Michael Mmoh,1st Serve Won %,67.2%
Michael Mmoh,2nd Serve Won %,46.5%
Michael Mmoh,Break Points Saved %,59.2%
Michael Mmoh,Service Points Won %,60.2%
Michael Mmoh,Service Games Won %,72.6%
Michael Mmoh,Ace Against %,8.7%
Michael Mmoh,Double Fault Against %,3.0%
Michael Mmoh,1st Srv. Return Won %,29.2%
Michael Mmoh,2nd Srv. Return Won %,45.8%
Michael Mmoh,Break Points Won %,38.1%
Michael Mmoh,Return Points Won %,35.5%
Michael Mmoh,Return Games Won %,19.6%
Michael Mmoh,Points Dominance,0.89
Michael Mmoh,Games Dominance,0.72
Michael Mmoh,Break Points Ratio,0.93
Michael Mmoh,Total Points Won %,48.1%
Michael Mmoh,Games Won %,46.3%
Michael Mmoh,Sets Won %,38.7%
Michael Mmoh,Matches Won %,35.4%
Michael Mmoh,Match Time,2:02
